(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,376.8376,-3474.110231,322.5,14.42,26.17,44.23,0.00,1.00,0.00,0.00,0.00,351.75,351.75,8.32
,1,234,conf-234,413.2847,-3474.047925,,21.97,65.27,110.29,0.00,,0.00,0.00,0.00,,,
,2,472,conf-472,418.3483,-3474.041637,,22.91,69.22,116.95,0.00,,0.00,0.00,0.00,,,
,3,474,conf-474,421.0439,-3474.100287,,23.40,32.41,54.77,0.00,,0.00,0.00,0.00,,,
,4,535,conf-535,411.0309,-3474.105325,,21.54,29.25,49.43,0.00,,0.00,0.00,0.00,,,
,5,549,conf-549,353.1211,-3474.14018,,8.67,7.38,12.47,0.00,,0.00,0.00,0.00,,,
,6,584,conf-584,351.7529,-3474.151942,,8.32,0.00,0.00,1.00,,1.00,351.75,351.75,,,
,7,607,conf-607,416.7301,-3474.090683,,22.61,38.44,64.95,0.00,,0.00,0.00,0.00,,,
,8,684,conf-684,434.5007,-3474.045241,,25.78,66.95,113.13,0.00,,0.00,0.00,0.00,,,
,9,727,conf-727,429.9437,-3474.094274,,24.99,36.19,61.14,0.00,,0.00,0.00,0.00,,,
,10,966,conf-966,407.8842,-3474.109314,,20.93,26.75,45.20,0.00,,0.00,0.00,0.00,,,
