(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,431.7693,-3473.936725,322.5,25.31,74.12,125.24,0.00,1.00,0.00,0.00,0.00,340.71,340.71,5.34
,1,234,conf-234,424.5348,-3473.948571,,24.03,66.69,112.69,0.00,,0.00,0.00,0.00,,,
,2,472,conf-472,430.9254,-3473.943742,,25.16,69.72,117.81,0.00,,0.00,0.00,0.00,,,
,3,474,conf-474,422.6307,-3473.989397,,23.69,41.07,69.40,0.00,,0.00,0.00,0.00,,,
,4,535,conf-535,413.7874,-3473.99029,,22.06,40.51,68.45,0.00,,0.00,0.00,0.00,,,
,5,549,conf-549,340.1819,-3474.012494,,5.20,26.58,44.91,0.00,,0.00,0.00,0.00,,,
,6,584,conf-584,340.7085,-3474.05485,,5.34,0.00,0.00,1.00,,1.00,340.71,340.71,,,
,7,607,conf-607,417.0208,-3473.977979,,22.67,48.24,81.51,0.00,,0.00,0.00,0.00,,,
,8,684,conf-684,436.4485,-3473.930414,,26.11,78.08,131.94,0.00,,0.00,0.00,0.00,,,
,9,727,conf-727,425.2244,-3473.972128,,24.16,51.91,87.71,0.00,,0.00,0.00,0.00,,,
,10,966,conf-966,410.428,-3473.995582,,21.42,37.19,62.84,0.00,,0.00,0.00,0.00,,,
