(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,433.2805,-3473.716615,322.5,25.57,79.88,134.98,0.00,1.00,0.00,0.00,0.00,347.62,347.62,7.23
,1,234,conf-234,437.0776,-3473.725685,,26.21,74.19,125.36,0.00,,0.00,0.00,0.00,,,
,2,472,conf-472,436.3455,-3473.719123,,26.09,78.31,132.32,0.00,,0.00,0.00,0.00,,,
,3,474,conf-474,423.2555,-3473.781442,,23.80,39.20,66.24,0.00,,0.00,0.00,0.00,,,
,4,535,conf-535,441.0199,-3473.791989,,26.87,32.59,55.06,0.00,,0.00,0.00,0.00,,,
,5,549,conf-549,347.624,-3473.843918,,7.23,0.00,0.00,1.00,,1.00,347.62,347.62,,,
,6,584,conf-584,421.328,-3473.740396,,23.46,64.96,109.76,0.00,,0.00,0.00,0.00,,,
,7,607,conf-607,440.6018,-3473.76367,,26.80,50.36,85.08,0.00,,0.00,0.00,0.00,,,
,8,684,conf-684,449.8703,-3473.724066,,28.31,75.21,127.08,0.00,,0.00,0.00,0.00,,,
,9,727,conf-727,449.8446,-3473.774363,,28.31,43.65,73.75,0.00,,0.00,0.00,0.00,,,
,10,966,conf-966,450.5085,-3473.779304,,28.41,40.55,68.51,0.00,,0.00,0.00,0.00,,,
