(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,466.0616,-3473.7802,322.5,30.80,195.23,329.87,0.00,1.00,0.00,0.00,0.00,322.93,322.93,0.13
,1,102,conf-102,386.691,-3474.05107,,16.60,25.26,42.67,0.00,,0.00,0.00,0.00,,,
,2,137,conf-137,322.9297,-3474.091318,,0.13,0.00,0.00,1.00,,1.00,322.93,322.93,,,
,3,172,conf-172,465.0879,-3473.791886,,30.66,187.89,317.48,0.00,,0.00,0.00,0.00,,,
,4,196,conf-196,459.3603,-3473.773725,,29.79,199.29,336.74,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,441.1791,-3473.83452,,26.90,161.14,272.28,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,375.5903,-3474.027639,,14.14,39.96,67.52,0.00,,0.00,0.00,0.00,,,
,7,367,conf-367,376.3584,-3474.077417,,14.31,8.72,14.74,0.00,,0.00,0.00,0.00,,,
,8,538,conf-538,467.3624,-3473.78753,,31.00,190.63,322.10,0.00,,0.00,0.00,0.00,,,
,9,879,conf-879,395.7902,-3473.999949,,18.52,57.33,96.88,0.00,,0.00,0.00,0.00,,,
,10,883,conf-883,463.7837,-3473.813667,,30.46,174.23,294.39,0.00,,0.00,0.00,0.00,,,
