(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,349.7581,-2843.874323,278.2,20.46,53.95,91.16,0.00,1.00,0.00,0.00,0.00,307.19,307.18,9.44
,1,60,conf-60,347.8856,-2843.933033,,20.03,17.11,28.91,0.00,,0.00,0.00,0.00,,,
,2,81,conf-81,347.7601,-2843.871378,,20.00,55.80,94.28,0.00,,0.00,0.00,0.00,,,
,3,102,conf-102,371.6548,-2843.905515,,25.15,34.38,58.08,0.00,,0.00,0.00,0.00,,,
,4,121,conf-121,365.0093,-2843.867954,,23.78,57.94,97.91,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,345.6741,-2843.943164,,19.52,10.75,18.17,0.00,,0.00,0.00,0.00,,,
,6,126,conf-126,307.1847,-2843.960297,,9.44,0.00,0.00,1.00,,1.00,307.18,307.18,,,
,7,156,conf-156,362.9629,-2843.930586,,23.35,18.64,31.50,0.00,,0.00,0.00,0.00,,,
,8,205,conf-205,367.8661,-2843.862506,,24.37,61.36,103.68,0.00,,0.00,0.00,0.00,,,
,9,231,conf-231,384.1033,-2843.830697,,27.57,81.32,137.41,0.00,,0.00,0.00,0.00,,,
,10,304,conf-304,350.0301,-2843.874876,,20.52,53.60,90.57,0.00,,0.00,0.00,0.00,,,
,11,315,conf-315,394.8794,-2843.835011,,29.55,78.62,132.84,0.00,,0.00,0.00,0.00,,,
,12,448,conf-448,368.6623,-2843.947702,,24.54,7.90,13.35,0.00,,0.00,0.00,0.00,,,
,13,472,conf-472,351.3541,-2843.896995,,20.82,39.72,67.12,0.00,,0.00,0.00,0.00,,,
,14,474,conf-474,369.5618,-2843.807791,,24.72,95.70,161.70,0.00,,0.00,0.00,0.00,,,
,15,549,conf-549,364.7087,-2843.942893,,23.72,10.92,18.45,0.00,,0.00,0.00,0.00,,,
,16,564,conf-564,337.7957,-2843.950844,,17.64,5.93,10.02,0.00,,0.00,0.01,0.01,,,
,17,578,conf-578,360.8512,-2843.925186,,22.90,22.03,37.23,0.00,,0.00,0.00,0.00,,,
,18,684,conf-684,354.7709,-2843.952931,,21.58,4.62,7.81,0.00,,0.00,0.14,0.14,,,
,19,727,conf-727,305.8404,-2843.90513,,9.04,34.62,58.49,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,337.1037,-2843.906491,,17.47,33.76,57.05,0.00,,0.00,0.00,0.00,,,
,21,883,conf-883,307.28,-2843.916481,,9.46,27.49,46.46,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,374.825,-2843.873935,,25.78,54.19,91.57,0.00,,0.00,0.00,0.00,,,
