(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,345.6175,-2843.774442,278.2,19.51,55.33,93.49,0.00,1.00,0.00,0.00,0.00,306.36,306.36,9.19
,1,60,conf-60,348.5668,-2843.831459,,20.19,19.55,33.04,0.00,,0.00,0.00,0.00,,,
,2,81,conf-81,365.3203,-2843.728713,,23.85,84.03,141.98,0.00,,0.00,0.00,0.00,,,
,3,102,conf-102,373.4932,-2843.804129,,25.51,36.70,62.02,0.00,,0.00,0.00,0.00,,,
,4,121,conf-121,351.9718,-2843.793878,,20.96,43.14,72.89,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,349.6094,-2843.834147,,20.43,17.87,30.19,0.00,,0.00,0.00,0.00,,,
,6,126,conf-126,306.3616,-2843.862621,,9.19,0.00,0.00,1.00,,1.00,306.36,306.36,,,
,7,156,conf-156,366.2739,-2843.816445,,24.05,28.98,48.96,0.00,,0.00,0.00,0.00,,,
,8,205,conf-205,367.8324,-2843.760099,,24.37,64.33,108.70,0.00,,0.00,0.00,0.00,,,
,9,231,conf-231,384.4155,-2843.730642,,27.63,82.82,139.93,0.00,,0.00,0.00,0.00,,,
,10,304,conf-304,351.45,-2843.773318,,20.84,56.04,94.69,0.00,,0.00,0.00,0.00,,,
,11,315,conf-315,382.3933,-2843.772898,,27.25,56.30,95.13,0.00,,0.00,0.00,0.00,,,
,12,448,conf-448,367.3017,-2843.839499,,24.26,14.51,24.52,0.00,,0.00,0.00,0.00,,,
,13,472,conf-472,353.9689,-2843.79607,,21.41,41.76,70.56,0.00,,0.00,0.00,0.00,,,
,14,474,conf-474,342.0475,-2843.807328,,18.67,34.70,58.63,0.00,,0.00,0.00,0.00,,,
,15,549,conf-549,365.99,-2843.841565,,23.99,13.21,22.32,0.00,,0.00,0.00,0.00,,,
,16,564,conf-564,368.4553,-2843.737961,,24.50,78.22,132.17,0.00,,0.00,0.00,0.00,,,
,17,578,conf-578,359.3433,-2843.820217,,22.58,26.61,44.96,0.00,,0.00,0.00,0.00,,,
,18,684,conf-684,355.7631,-2843.850753,,21.80,7.45,12.58,0.00,,0.00,0.00,0.00,,,
,19,727,conf-727,313.7924,-2843.823095,,11.34,24.80,41.91,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,333.2719,-2843.803815,,16.52,36.90,62.35,0.00,,0.00,0.00,0.00,,,
,21,883,conf-883,325.5034,-2843.801993,,14.53,38.04,64.28,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,375.5199,-2843.774638,,25.92,55.21,93.29,0.00,,0.00,0.00,0.00,,,
