(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,6,126,conf-126,331.4949,-2843.685297,278.2,16.08,6.72,11.36,0.00,1.00,0.00,0.00,0.00,357.06,357.06,22.09
,0,34,conf-34,336.0723,-2843.671339,,17.22,15.48,26.16,0.00,,0.00,0.00,0.00,,,
,19,727,conf-727,344.99,-2843.619061,,19.36,48.28,81.59,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,351.0959,-2843.638399,,20.76,36.15,61.08,0.00,,0.00,0.00,0.00,,,
,1,60,conf-60,355.6477,-2843.660743,,21.78,22.13,37.39,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,357.0578,-2843.696008,,22.09,0.00,0.00,1.00,,1.00,357.06,357.05,,,
,13,472,conf-472,359.4932,-2843.622306,,22.61,46.25,78.14,0.00,,0.00,0.00,0.00,,,
,2,81,conf-81,360.6565,-2843.59446,,22.86,63.72,107.67,0.00,,0.00,0.00,0.00,,,
,10,304,conf-304,360.9164,-2843.603297,,22.92,58.18,98.30,0.00,,0.00,0.00,0.00,,,
,14,474,conf-474,362.6685,-2843.621663,,23.29,46.65,78.83,0.00,,0.00,0.00,0.00,,,
,18,684,conf-684,371.2446,-2843.662859,,25.06,20.80,35.15,0.00,,0.00,0.00,0.00,,,
,12,448,conf-448,372.5223,-2843.682584,,25.32,8.42,14.23,0.00,,0.00,0.00,0.00,,,
,4,121,conf-121,373.2642,-2843.610466,,25.47,53.68,90.70,0.00,,0.00,0.00,0.00,,,
,15,549,conf-549,374.2872,-2843.680221,,25.67,9.91,16.74,0.00,,0.00,0.00,0.00,,,
,8,205,conf-205,374.7579,-2843.584535,,25.77,69.95,118.19,0.00,,0.00,0.00,0.00,,,
,17,578,conf-578,374.8321,-2843.664563,,25.78,19.73,33.34,0.00,,0.00,0.00,0.00,,,
,7,156,conf-156,375.9256,-2843.65215,,26.00,27.52,46.50,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,378.0078,-2843.663134,,26.40,20.63,34.86,0.00,,0.00,0.00,0.00,,,
,3,102,conf-102,382.5339,-2843.649355,,27.27,29.28,49.47,0.00,,0.00,0.00,0.00,,,
,9,231,conf-231,393.6439,-2843.570993,,29.33,78.45,132.55,0.00,,0.00,0.00,0.00,,,
,16,564,conf-564,400.036,-2843.57018,,30.46,78.96,133.41,0.00,,0.00,0.00,0.00,,,
,11,315,conf-315,407.7755,-2843.571434,,31.78,78.17,132.08,0.00,,0.00,0.00,0.00,,,
