(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,22,962,conf-962,292.79,-2844.09933,278.2,4.98,0.00,0.00,1.00,1.00,1.00,292.79,291.83,293.78,292.82,4.99
,6,126,conf-126,300.8763,-2844.093943,,7.54,3.38,5.71,0.00,,0.00,0.99,0.99,,,
,18,684,conf-684,354.7123,-2844.07539,,21.57,15.02,25.38,0.00,,0.00,0.00,0.00,,,
,15,549,conf-549,358.191,-2844.072648,,22.33,16.74,28.29,0.00,,0.00,0.00,0.00,,,
,12,448,conf-448,367.5424,-2844.07139,,24.31,17.53,29.62,0.00,,0.00,0.00,0.00,,,
,20,879,conf-879,329.7103,-2844.071191,,15.62,17.66,29.83,0.00,,0.00,0.00,0.00,,,
,13,472,conf-472,350.3033,-2844.062043,,20.58,23.40,39.54,0.00,,0.00,0.00,0.00,,,
,1,60,conf-60,342.7486,-2844.05702,,18.83,26.55,44.86,0.00,,0.00,0.00,0.00,,,
,7,156,conf-156,362.3336,-2844.054323,,23.22,28.24,47.72,0.00,,0.00,0.00,0.00,,,
,19,727,conf-727,311.1514,-2844.045828,,10.59,33.57,56.73,0.00,,0.00,0.00,0.00,,,
,17,578,conf-578,363.0084,-2844.042916,,23.36,35.40,59.81,0.00,,0.00,0.00,0.00,,,
,21,883,conf-883,305.9853,-2844.037576,,9.08,38.75,65.48,0.00,,0.00,0.00,0.00,,,
,11,315,conf-315,342.9736,-2844.028725,,18.89,44.30,74.86,0.00,,0.00,0.00,0.00,,,
,16,564,conf-564,350.8776,-2844.02856,,20.71,44.41,75.04,0.00,,0.00,0.00,0.00,,,
,10,304,conf-304,346.4603,-2843.996266,,19.70,64.67,109.28,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,347.346,-2843.996147,,19.91,64.75,109.40,0.00,,0.00,0.00,0.00,,,
,3,102,conf-102,373.9825,-2843.98967,,25.61,68.81,116.27,0.00,,0.00,0.00,0.00,,,
,5,123,conf-123,370.4262,-2843.981423,,24.90,73.99,125.01,0.00,,0.00,0.00,0.00,,,
,8,205,conf-205,366.9968,-2843.976828,,24.20,76.87,129.89,0.00,,0.00,0.00,0.00,,,
,9,231,conf-231,381.5434,-2843.951961,,27.09,92.47,156.25,0.00,,0.00,0.00,0.00,,,
,4,121,conf-121,373.1632,-2843.951178,,25.45,92.97,157.08,0.00,,0.00,0.00,0.00,,,
,14,474,conf-474,368.7776,-2843.928149,,24.56,107.42,181.50,0.00,,0.00,0.00,0.00,,,
,2,81,conf-81,370.4043,-2843.91824,,24.89,113.63,192.01,0.00,,0.00,0.00,0.00,,,
