(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,315.8494,-2843.69305,278.2,11.92,16.99,28.71,0.00,1.00,0.00,0.00,0.00,333.91,333.91,16.69
,1,102,conf-102,345.9927,-2843.697244,,19.59,14.36,24.26,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,333.9138,-2843.720124,,16.69,0.00,0.00,1.00,,1.00,333.91,333.91,,,
,3,234,conf-234,399.7306,-2843.511974,,30.40,130.61,220.70,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,339.9855,-2843.694016,,18.17,16.38,27.68,0.00,,0.00,0.00,0.00,,,
,5,497,conf-497,396.8379,-2843.505913,,29.90,134.42,227.12,0.00,,0.00,0.00,0.00,,,
,6,731,conf-731,352.8376,-2843.63839,,21.15,51.29,86.66,0.00,,0.00,0.00,0.00,,,
,7,772,conf-772,329.4676,-2843.700443,,15.56,12.35,20.87,0.00,,0.00,0.00,0.00,,,
,8,876,conf-876,398.2211,-2843.495268,,30.14,141.10,238.41,0.00,,0.00,0.00,0.00,,,
,9,879,conf-879,342.7683,-2843.68102,,18.84,24.54,41.46,0.00,,0.00,0.00,0.00,,,
,10,883,conf-883,408.9665,-2843.494087,,31.97,141.84,239.66,0.00,,0.00,0.00,0.00,,,
,11,962,conf-962,384.5819,-2843.470526,,27.66,156.62,264.64,0.00,,0.00,0.00,0.00,,,
