(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,319.027,-2843.889505,278.2,12.80,11.64,19.66,0.00,1.00,0.00,0.00,0.00,295.78,295.78,5.94
,1,102,conf-102,329.8098,-2843.872003,,15.65,22.62,38.22,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,338.9538,-2843.864816,,17.92,27.13,45.84,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,328.0051,-2843.864773,,15.18,27.15,45.88,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,324.0305,-2843.871399,,14.14,23.00,38.86,0.00,,0.00,0.00,0.00,,,
,5,497,conf-497,396.8379,-2843.667916,,29.90,150.68,254.61,0.00,,0.00,0.00,0.00,,,
,6,731,conf-731,332.2503,-2843.825779,,16.27,51.62,87.23,0.00,,0.00,0.00,0.00,,,
,7,772,conf-772,295.7756,-2843.908047,,5.94,0.00,0.00,1.00,,1.00,295.78,295.78,,,
,8,876,conf-876,398.2211,-2843.654083,,30.14,159.36,269.27,0.00,,0.00,0.00,0.00,,,
,9,879,conf-879,337.4594,-2843.85139,,17.56,35.55,60.07,0.00,,0.00,0.00,0.00,,,
,10,883,conf-883,408.9665,-2843.648301,,31.97,162.99,275.40,0.00,,0.00,0.00,0.00,,,
,11,962,conf-962,384.5819,-2843.636894,,27.66,170.15,287.50,0.00,,0.00,0.00,0.00,,,
