(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,320.8005,-2843.963774,278.2,13.28,27.46,46.40,0.00,1.00,0.00,0.00,0.00,296.49,296.11,6.05
,1,102,conf-102,346.9878,-2843.934206,,19.82,46.01,77.75,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,363.5997,-2843.804792,,23.49,127.22,214.96,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,335.3285,-2843.949315,,17.04,36.53,61.73,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,308.2898,-2844.001254,,9.76,3.94,6.66,0.00,,0.00,0.40,0.40,,,
,5,497,conf-497,396.8379,-2843.767925,,29.90,150.35,254.05,0.00,,0.00,0.00,0.00,,,
,6,731,conf-731,331.8048,-2843.907464,,16.16,62.79,106.10,0.00,,0.00,0.00,0.00,,,
,7,772,conf-772,296.0937,-2844.007534,,6.04,0.00,0.00,1.00,,1.00,296.09,295.71,,,
,8,876,conf-876,398.2211,-2843.754726,,30.14,158.64,268.05,0.00,,0.00,0.00,0.00,,,
,9,879,conf-879,330.2094,-2843.956605,,15.75,31.96,54.00,0.00,,0.00,0.00,0.00,,,
,10,883,conf-883,408.9665,-2843.748881,,31.97,162.30,274.24,0.00,,0.00,0.00,0.00,,,
,11,962,conf-962,384.5819,-2843.738296,,27.66,168.95,285.47,0.00,,0.00,0.00,0.00,,,
