(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,290.471,-2360.11801,255.7,11.97,39.65,66.99,0.00,1.00,0.00,0.00,0.00,260.54,260.54,1.86
,1,102,conf-102,276.5891,-2360.167217,,7.55,8.77,14.82,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,331.8112,-2360.143867,,22.94,23.42,39.58,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,351.7997,-2360.038677,,27.32,89.43,151.11,0.00,,0.00,0.00,0.00,,,
,4,205,conf-205,302.1536,-2360.101669,,15.37,49.90,84.32,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,289.9587,-2360.103526,,11.82,48.74,82.35,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,313.2082,-2360.149666,,18.36,19.79,33.43,0.00,,0.00,0.00,0.00,,,
,7,370,conf-370,310.7893,-2360.134642,,17.73,29.21,49.36,0.00,,0.00,0.00,0.00,,,
,8,448,conf-448,321.3948,-2360.126745,,20.44,34.17,57.73,0.00,,0.00,0.00,0.00,,,
,9,449,conf-449,260.5424,-2360.181196,,1.86,0.00,0.00,1.00,,1.00,260.54,260.54,,,
,10,474,conf-474,307.9598,-2360.084758,,16.97,60.51,102.25,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,340.658,-2360.012,,24.94,106.17,179.39,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,318.7385,-2360.076837,,19.78,65.49,110.65,0.00,,0.00,0.00,0.00,,,
,13,797,conf-797,335.2348,-2360.055909,,23.73,78.62,132.84,0.00,,0.00,0.00,0.00,,,
,14,817,conf-817,349.8684,-2360.062752,,26.92,74.32,125.58,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,331.7047,-2360.062989,,22.91,74.17,125.33,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,317.6385,-2360.077497,,19.50,65.07,109.95,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,275.155,-2360.142945,,7.07,24.00,40.56,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,283.0783,-2360.174411,,9.67,4.26,7.19,0.00,,0.00,0.21,0.21,,,
,19,966,conf-966,324.4815,-2360.062136,,21.20,74.71,126.24,0.00,,0.00,0.00,0.00,,,
