(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,339.7228,-2359.982819,255.7,24.73,57.24,96.72,0.00,1.64,0.00,0.00,0.00,487.49,296.88,13.87
,1,102,conf-102,292.3915,-2360.07362,,12.55,0.26,0.44,0.64,,0.39,187.73,114.33,,,
,2,123,conf-123,335.8283,-2360.037138,,23.86,23.15,39.12,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,297.208,-2360.050675,,13.97,14.66,24.77,0.00,,0.00,0.00,0.00,,,
,4,205,conf-205,299.761,-2360.074038,,14.70,0.00,0.00,1.00,,0.61,299.76,182.55,,,
,5,234,conf-234,318.5474,-2360.03408,,19.73,25.07,42.37,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,323.586,-2360.039891,,20.98,21.43,36.21,0.00,,0.00,0.00,0.00,,,
,7,370,conf-370,334.5631,-2360.022224,,23.57,32.51,54.94,0.00,,0.00,0.00,0.00,,,
,8,448,conf-448,317.5683,-2360.031162,,19.48,26.90,45.46,0.00,,0.00,0.00,0.00,,,
,9,449,conf-449,309.8904,-2360.041669,,17.49,20.31,34.32,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,320.1864,-2360.010333,,20.14,39.97,67.54,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,347.0224,-2359.901444,,26.32,108.30,183.00,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,358.764,-2359.967414,,28.73,66.91,113.05,0.00,,0.00,0.00,0.00,,,
,13,797,conf-797,347.4269,-2359.975508,,26.40,61.83,104.47,0.00,,0.00,0.00,0.00,,,
,14,817,conf-817,362.8028,-2359.960352,,29.52,71.34,120.54,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,362.6957,-2359.958894,,29.50,72.25,122.08,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,330.1059,-2360.012315,,22.54,38.73,65.44,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,331.3914,-2360.027498,,22.84,29.20,49.35,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,311.2707,-2360.036201,,17.85,23.74,40.12,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,339.7435,-2359.960223,,24.74,71.42,120.68,0.00,,0.00,0.00,0.00,,,
