(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,95,conf-95,270.1373,-2360.305604,255.7,5.34,0.82,1.39,0.25,1.25,0.20,67.37,53.92,339.89,272.05,6.01
,1,102,conf-102,272.5229,-2360.306914,,6.17,0.00,0.00,1.00,,0.80,272.52,218.13,,,
,2,123,conf-123,328.4665,-2360.246965,,22.15,37.62,63.56,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,271.9124,-2360.290332,,5.96,10.40,17.58,0.00,,0.00,0.00,0.00,,,
,4,205,conf-205,297.7333,-2360.274059,,14.12,20.62,34.84,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,296.6155,-2360.205697,,13.79,63.51,107.32,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,326.3299,-2360.245816,,21.64,38.34,64.78,0.00,,0.00,0.00,0.00,,,
,7,370,conf-370,321.4657,-2360.233098,,20.46,46.32,78.26,0.00,,0.00,0.00,0.00,,,
,8,448,conf-448,285.4837,-2360.254925,,10.43,32.62,55.12,0.00,,0.00,0.00,0.00,,,
,9,449,conf-449,269.3894,-2360.283179,,5.08,14.89,25.16,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,296.3532,-2360.239675,,13.72,42.19,71.29,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,340.658,-2360.097258,,24.94,131.56,222.29,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,341.0728,-2360.193321,,25.03,71.28,120.44,0.00,,0.00,0.00,0.00,,,
,13,797,conf-797,327.6208,-2360.179119,,21.95,80.19,135.50,0.00,,0.00,0.00,0.00,,,
,14,817,conf-817,327.8988,-2360.227001,,22.02,50.15,84.73,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,350.4053,-2360.171102,,27.03,85.22,144.00,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,323.9272,-2360.218554,,21.06,55.45,93.69,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,324.0269,-2360.241342,,21.09,41.15,69.52,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,310.8205,-2360.257739,,17.73,30.86,52.14,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,319.4618,-2360.187574,,19.96,74.89,126.53,0.00,,0.00,0.00,0.00,,,
