(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,2,conf-2,533.8593,-4648.728394,374.8,29.79,74.63,126.10,0.00,1.06,0.00,0.00,0.00,438.65,412.60,9.16
,1,95,conf-95,391.9494,-4648.844723,,4.38,1.64,2.76,0.06,,0.06,24.74,23.27,,,
,2,156,conf-156,514.1881,-4648.744717,,27.11,64.39,108.80,0.00,,0.00,0.00,0.00,,,
,3,232,conf-232,436.9964,-4648.78692,,14.23,37.91,64.05,0.00,,0.00,0.00,0.00,,,
,4,306,conf-306,516.6154,-4648.743914,,27.45,64.89,109.65,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,477.2937,-4648.752414,,21.47,59.56,100.64,0.00,,0.00,0.00,0.00,,,
,6,617,conf-617,505.3426,-4648.751597,,25.83,60.07,101.50,0.00,,0.00,0.00,0.00,,,
,7,647,conf-647,489.4356,-4648.766023,,23.42,51.02,86.21,0.00,,0.00,0.00,0.00,,,
,8,839,conf-839,413.9084,-4648.847329,,9.45,0.00,0.00,1.00,,0.94,413.91,389.33,,,
,9,997,conf-997,471.0369,-4648.770316,,20.43,48.33,81.65,0.00,,0.00,0.00,0.00,,,
