(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,2,conf-2,490.4749,-4649.142115,374.8,23.58,44.43,75.08,0.00,1.00,0.00,0.00,0.00,392.13,392.13,4.42
,1,95,conf-95,435.2111,-4649.151002,,13.88,38.86,65.66,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,392.1294,-4649.212928,,4.42,0.00,0.00,1.00,,1.00,392.13,392.13,,,
,3,232,conf-232,544.4705,-4648.996505,,31.16,135.81,229.47,0.00,,0.00,0.00,0.00,,,
,4,306,conf-306,502.144,-4649.104591,,25.36,67.98,114.87,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,472.3892,-4649.110306,,20.66,64.40,108.81,0.00,,0.00,0.00,0.00,,,
,6,617,conf-617,499.8221,-4649.109751,,25.01,64.74,109.40,0.00,,0.00,0.00,0.00,,,
,7,647,conf-647,478.4428,-4649.092739,,21.66,75.42,127.43,0.00,,0.00,0.00,0.00,,,
,8,839,conf-839,414.0277,-4649.18662,,9.47,16.51,27.89,0.00,,0.00,0.00,0.00,,,
,9,997,conf-997,468.6983,-4649.126583,,20.03,54.18,91.55,0.00,,0.00,0.00,0.00,,,
