(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,2,conf-2,514.3316,-4648.5306,374.8,27.13,12.80,21.63,0.00,1.00,0.00,0.00,0.00,410.42,410.42,8.68
,1,95,conf-95,467.6355,-4648.501486,,19.85,31.07,52.50,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,554.6781,-4648.477325,,32.43,46.23,78.11,0.00,,0.00,0.00,0.00,,,
,3,232,conf-232,534.4929,-4648.506337,,29.88,28.03,47.35,0.00,,0.00,0.00,0.00,,,
,4,306,conf-306,547.4967,-4648.399584,,31.54,95.01,160.54,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,540.484,-4648.471176,,30.65,50.09,84.63,0.00,,0.00,0.00,0.00,,,
,6,617,conf-617,535.6189,-4648.472391,,30.02,49.33,83.35,0.00,,0.00,0.00,0.00,,,
,7,647,conf-647,504.1795,-4648.461379,,25.66,56.24,95.02,0.00,,0.00,0.00,0.00,,,
,8,839,conf-839,410.4159,-4648.550999,,8.68,0.00,0.00,1.00,,1.00,410.42,410.42,,,
,9,997,conf-997,486.2993,-4648.478998,,22.93,45.18,76.34,0.00,,0.00,0.00,0.00,,,
