(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,2,conf-2,531.6111,-4648.899585,374.8,29.50,61.23,103.46,0.00,1.00,0.00,0.00,0.00,422.64,422.64,11.32
,1,95,conf-95,428.6718,-4648.975919,,12.57,13.33,22.52,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,509.515,-4648.920983,,26.44,47.80,80.77,0.00,,0.00,0.00,0.00,,,
,3,232,conf-232,509.2297,-4648.915324,,26.40,51.35,86.77,0.00,,0.00,0.00,0.00,,,
,4,306,conf-306,512.6631,-4648.912753,,26.89,52.97,89.49,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,471.881,-4648.922669,,20.57,46.74,78.98,0.00,,0.00,0.00,0.00,,,
,6,617,conf-617,501.9147,-4648.918518,,25.33,49.35,83.38,0.00,,0.00,0.00,0.00,,,
,7,647,conf-647,491.0648,-4648.941436,,23.68,34.97,59.08,0.00,,0.00,0.00,0.00,,,
,8,839,conf-839,422.6445,-4648.99716,,11.32,0.00,0.00,1.00,,1.00,422.64,422.64,,,
,9,997,conf-997,469.9631,-4648.941419,,20.25,34.98,59.10,0.00,,0.00,0.00,0.00,,,
