(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,16,746,conf-746,200.4453,-1447.482423,200.3,0.07,0.00,0.00,1.00,1.00,1.00,200.45,200.44,200.45,200.45,0.07
,18,883,conf-883,209.0559,-1447.432018,,4.19,31.63,53.44,0.00,,0.00,0.00,0.00,,,
,19,950,conf-950,215.9336,-1447.439996,,7.24,26.62,44.98,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,218.1175,-1447.452499,,8.17,18.78,31.73,0.00,,0.00,0.00,0.00,,,
,20,962,conf-962,219.0003,-1447.471659,,8.54,6.75,11.41,0.00,,0.00,0.00,0.00,,,
,13,497,conf-497,221.115,-1447.458514,,9.41,15.00,25.35,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,221.3349,-1447.444515,,9.50,23.79,40.19,0.00,,0.00,0.00,0.00,,,
,0,14,conf-14,221.5186,-1447.462518,,9.58,12.49,21.10,0.00,,0.00,0.00,0.00,,,
,1,34,conf-34,221.5256,-1447.447385,,9.58,21.99,37.15,0.00,,0.00,0.00,0.00,,,
,12,472,conf-472,222.1228,-1447.450189,,9.82,20.23,34.18,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,222.666,-1447.44369,,10.04,24.30,41.07,0.00,,0.00,0.00,0.00,,,
,10,364,conf-364,222.8722,-1447.436211,,10.13,29.00,49.00,0.00,,0.00,0.00,0.00,,,
,7,242,conf-242,223.147,-1447.459048,,10.24,14.67,24.78,0.00,,0.00,0.00,0.00,,,
,15,649,conf-649,224.1115,-1447.459194,,10.62,14.58,24.63,0.00,,0.00,0.00,0.00,,,
,14,535,conf-535,224.8464,-1447.454934,,10.92,17.25,29.15,0.00,,0.00,0.00,0.00,,,
,17,879,conf-879,226.7824,-1447.460923,,11.68,13.49,22.80,0.00,,0.00,0.00,0.00,,,
,21,966,conf-966,229.1044,-1447.458529,,12.57,14.99,25.33,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,230.6631,-1447.459604,,13.16,14.32,24.19,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,231.0864,-1447.442882,,13.32,24.81,41.92,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,231.3724,-1447.459588,,13.43,14.33,24.21,0.00,,0.00,0.00,0.00,,,
,8,315,conf-315,231.6306,-1447.455843,,13.53,16.68,28.18,0.00,,0.00,0.00,0.00,,,
,9,351,conf-351,241.478,-1447.414011,,17.05,42.93,72.54,0.00,,0.00,0.00,0.00,,,
