(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,18,conf-18,214.7076,-1447.472875,200.3,6.71,30.29,51.19,0.00,1.00,0.00,0.00,0.00,211.04,211.04,5.09
,1,34,conf-34,206.1829,-1447.496991,,2.85,15.16,25.62,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,208.821,-1447.505067,,4.08,10.09,17.05,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,212.8257,-1447.483669,,5.89,23.52,39.74,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,198.7467,-1447.50776,,0.78,8.40,14.20,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,203.3214,-1447.499244,,1.49,13.75,23.23,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,215.5957,-1447.47055,,7.09,31.75,53.65,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,211.0739,-1447.495237,,5.10,16.26,27.48,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,198.4063,-1447.503248,,0.95,11.23,18.98,0.00,,0.00,0.00,0.00,,,
,9,477,conf-477,211.0413,-1447.521151,,5.09,0.00,0.00,1.00,,1.00,211.04,211.04,,,
,10,535,conf-535,202.6184,-1447.507803,,1.14,8.38,14.15,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,212.6704,-1447.476129,,5.82,28.25,47.74,0.00,,0.00,0.00,0.00,,,
,12,684,conf-684,213.4626,-1447.4811,,6.17,25.13,42.47,0.00,,0.00,0.00,0.00,,,
,13,705,conf-705,209.6327,-1447.470572,,4.45,31.74,53.63,0.00,,0.00,0.00,0.00,,,
,14,746,conf-746,209.7012,-1447.492035,,4.48,18.27,30.87,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,212.4402,-1447.465941,,5.71,34.64,58.54,0.00,,0.00,0.00,0.00,,,
,16,879,conf-879,217.1346,-1447.467275,,7.75,33.81,57.12,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,207.9727,-1447.492388,,3.69,18.05,30.50,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,212.3945,-1447.470909,,5.69,31.53,53.27,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,238.9184,-1447.461421,,16.16,37.48,63.33,0.00,,0.00,0.00,0.00,,,
