(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,18,conf-18,217.46,-1447.483437,200.3,7.89,30.3,51.2,0,1,0,0,0,205.7,205.6,2.58
,1,34,conf-34,216.6362,-1447.496161,,7.54,22.32,37.71,0,,0,0,0,,,
,2,102,conf-102,210.7526,-1447.517569,,4.96,8.88,15.01,0,,0,0,0,,,
,3,123,conf-123,215.4661,-1447.494245,,7.04,23.52,39.74,0,,0,0,0,,,
,4,234,conf-234,214.3522,-1447.488023,,6.56,27.42,46.34,0,,0,0,0,,,
,5,304,conf-304,209.9998,-1447.497721,,4.62,21.34,36.05,0,,0,0,0,,,
,6,315,conf-315,211.0567,-1447.522979,,5.1,5.49,9.27,0,,0,0.02,0.02,,,
,7,472,conf-472,212.0316,-1447.486066,,5.53,28.65,48.41,0,,0,0,0,,,
,8,474,conf-474,211.0205,-1447.491746,,5.08,25.09,42.39,0,,0,0,0,,,
,9,477,conf-477,215.9639,-1447.498165,,7.25,21.06,35.58,0,,0,0,0,,,
,10,535,conf-535,212.536,-1447.477386,,5.76,34.1,57.61,0,,0,0,0,,,
,11,549,conf-549,212.8415,-1447.510634,,5.89,13.23,22.36,0,,0,0,0,,,
,12,684,conf-684,212.978,-1447.498681,,5.95,20.74,35.04,0,,0,0,0,,,
,13,705,conf-705,216.9175,-1447.499689,,7.66,20.1,33.97,0,,0,0,0,,,
,14,746,conf-746,205.6007,-1447.531725,,2.58,0,0,1,,1,205.6,205.5,,,
,15,797,conf-797,199.5362,-1447.524322,,0.38,4.65,7.85,0,,0,0.08,0.08,,,
,16,879,conf-879,220.12,-1447.479657,,9,32.67,55.21,0,,0,0,0,,,
,17,961,conf-961,213.3637,-1447.515719,,6.12,10.04,16.97,0,,0,0,0,,,
,18,962,conf-962,207.8275,-1447.519638,,3.62,7.58,12.82,0,,0,0,0,,,
,19,966,conf-966,207.1903,-1447.518977,,3.33,8,13.52,0,,0,0,0,,,
