(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,16,746,conf-746,204.3636,-1447.407778,200.3,1.99,0.00,0.00,1.00,1.00,1.00,204.36,203.63,205.21,204.46,2.04
,2,112,conf-112,224.6321,-1447.360546,,10.83,29.64,50.08,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,226.1169,-1447.385539,,11.42,13.95,23.58,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,227.3488,-1447.391749,,11.90,10.06,17.00,0.00,,0.00,0.00,0.00,,,
,14,535,conf-535,227.7159,-1447.390215,,12.04,11.02,18.62,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,228.1948,-1447.358399,,12.22,30.99,52.36,0.00,,0.00,0.00,0.00,,,
,15,649,conf-649,228.3631,-1447.39557,,12.29,7.66,12.94,0.00,,0.00,0.00,0.00,,,
,17,879,conf-879,230.0453,-1447.3996,,12.93,5.13,8.67,0.00,,0.00,0.04,0.04,,,
,12,472,conf-472,230.1245,-1447.397408,,12.96,6.51,11.00,0.00,,0.00,0.00,0.00,,,
,0,14,conf-14,230.497,-1447.40164,,13.10,3.85,6.51,0.00,,0.00,0.34,0.34,,,
,18,883,conf-883,231.6455,-1447.346728,,13.53,38.31,64.73,0.00,,0.00,0.00,0.00,,,
,13,497,conf-497,232.3552,-1447.400502,,13.80,4.57,7.71,0.00,,0.00,0.10,0.10,,,
,3,126,conf-126,233.7951,-1447.400948,,14.33,4.29,7.24,0.00,,0.00,0.17,0.17,,,
,1,34,conf-34,233.8408,-1447.395042,,14.34,7.99,13.50,0.00,,0.00,0.00,0.00,,,
,7,242,conf-242,234.4506,-1447.398667,,14.57,5.72,9.66,0.00,,0.00,0.01,0.01,,,
,4,197,conf-197,234.7323,-1447.400944,,14.67,4.29,7.25,0.00,,0.00,0.17,0.17,,,
,8,315,conf-315,235.1678,-1447.394923,,14.83,8.07,13.63,0.00,,0.00,0.00,0.00,,,
,10,364,conf-364,235.4442,-1447.368811,,14.93,24.45,41.32,0.00,,0.00,0.00,0.00,,,
,9,351,conf-351,249.2474,-1447.353486,,19.64,34.07,57.56,0.00,,0.00,0.00,0.00,,,
