(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,123,conf-123,210.4831,-1447.53427,200.3,4.84,31.14,52.62,0.00,1.00,0.00,0.00,0.00,201.72,201.72,0.70
,1,156,conf-156,216.6692,-1447.520063,,7.55,40.06,67.68,0.00,,0.00,0.00,0.00,,,
,2,197,conf-197,201.7206,-1447.583899,,0.70,0.00,0.00,1.00,,1.00,201.72,201.72,,,
,3,234,conf-234,214.6892,-1447.547494,,6.70,22.84,38.60,0.00,,0.00,0.00,0.00,,,
,4,288,conf-288,220.362,-1447.520701,,9.10,39.66,67.01,0.00,,0.00,0.00,0.00,,,
,5,302,conf-302,235.0952,-1447.49214,,14.80,57.58,97.29,0.00,,0.00,0.00,0.00,,,
,6,365,conf-365,205.8462,-1447.522157,,2.69,38.74,65.46,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,221.5943,-1447.50206,,9.61,51.35,86.77,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,227.5587,-1447.509233,,11.98,46.85,79.17,0.00,,0.00,0.00,0.00,,,
,9,497,conf-497,231.8751,-1447.510914,,13.62,45.80,77.38,0.00,,0.00,0.00,0.00,,,
,10,538,conf-538,215.5426,-1447.528238,,7.07,34.93,59.02,0.00,,0.00,0.00,0.00,,,
,11,669,conf-669,220.27,-1447.518988,,9.07,40.73,68.82,0.00,,0.00,0.00,0.00,,,
,12,684,conf-684,233.9016,-1447.494757,,14.37,55.94,94.51,0.00,,0.00,0.00,0.00,,,
,13,747,conf-747,222.7606,-1447.493942,,10.08,56.45,95.38,0.00,,0.00,0.00,0.00,,,
,14,774,conf-774,208.6346,-1447.547667,,3.99,22.74,38.42,0.00,,0.00,0.00,0.00,,,
,15,796,conf-796,207.7722,-1447.528114,,3.60,35.01,59.15,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,216.6357,-1447.51315,,7.54,44.39,75.01,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,222.0124,-1447.510772,,9.78,45.89,77.54,0.00,,0.00,0.00,0.00,,,
