(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,230.1794,-1447.42703,200.3,12.98,14.37,24.27,0,1,0,0,0,198.06,197.81,1.26
,1,110,conf-110,211.559,-1447.430293,,5.32,12.32,20.81,0,,0,0,0,,,
,2,112,conf-112,217.9369,-1447.424541,,8.09,15.93,26.91,0,,0,0,0,,,
,3,123,conf-123,221.2776,-1447.41585,,9.48,21.38,36.13,0,,0,0,0,,,
,4,205,conf-205,218.365,-1447.436939,,8.27,8.15,13.77,0,,0,0,0,,,
,5,304,conf-304,209.1294,-1447.433647,,4.22,10.21,17.26,0,,0,0,0,,,
,6,433,conf-433,224.4356,-1447.431435,,10.75,11.6,19.6,0,,0,0,0,,,
,7,472,conf-472,218.3896,-1447.429983,,8.28,12.51,21.14,0,,0,0,0,,,
,8,474,conf-474,219.9982,-1447.419247,,8.95,19.25,32.53,0,,0,0,0,,,
,9,549,conf-549,210.3774,-1447.44362,,4.79,3.96,6.68,0,,0,0.26,0.26,,,
,10,578,conf-578,220.909,-1447.422392,,9.33,17.28,29.19,0,,0,0,0,,,
,11,669,conf-669,210.3813,-1447.440384,,4.79,5.99,10.11,0,,0,0.01,0.01,,,
,12,684,conf-684,197.7889,-1447.449924,,1.27,0,0,1,,1,197.79,197.53,,,
,13,746,conf-746,217.5376,-1447.415163,,7.92,21.81,36.86,0,,0,0,0,,,
,14,797,conf-797,233.884,-1447.411434,,14.36,24.15,40.81,0,,0,0,0,,,
,15,879,conf-879,234.3328,-1447.410663,,14.52,24.64,41.63,0,,0,0,0,,,
,16,883,conf-883,217.4767,-1447.41175,,7.9,23.95,40.47,0,,0,0,0,,,
,17,962,conf-962,238.265,-1447.404895,,15.93,28.26,47.74,0,,0,0,0,,,
,18,966,conf-966,213.5088,-1447.432105,,6.19,11.18,18.89,0,,0,0,0,,,
