(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,221.903,-1447.545178,200.3,9.74,21.04,35.55,0,1,0,0,0,202.48,201.62,0.66
,1,110,conf-110,208.0005,-1447.553031,,3.7,16.11,27.22,0,,0,0,0,,,
,2,112,conf-112,198.5427,-1447.569556,,0.89,5.74,9.7,0,,0,0.01,0.01,,,
,3,123,conf-123,218.3148,-1447.538109,,8.25,25.48,43.05,0,,0,0,0,,,
,4,205,conf-205,201.6185,-1447.578708,,0.65,0,0,1,,1,201.62,200.77,,,
,5,304,conf-304,208.8301,-1447.544982,,4.08,21.16,35.76,0,,0,0,0,,,
,6,433,conf-433,219.109,-1447.545719,,8.58,20.7,34.98,0,,0,0,0,,,
,7,472,conf-472,208.6751,-1447.560074,,4.01,11.69,19.76,0,,0,0,0,,,
,8,474,conf-474,219.5136,-1447.552762,,8.75,16.28,27.51,0,,0,0,0,,,
,9,549,conf-549,208.2355,-1447.573075,,3.81,3.53,5.97,0,,0,0.53,0.53,,,
,10,578,conf-578,215.3442,-1447.549717,,6.99,18.19,30.74,0,,0,0,0,,,
,11,669,conf-669,208.165,-1447.568057,,3.78,6.68,11.29,0,,0,0,0,,,
,12,684,conf-684,195.1398,-1447.572639,,2.64,3.81,6.43,0,,0,0.31,0.31,,,
,13,746,conf-746,206.7784,-1447.544899,,3.13,21.21,35.85,0,,0,0,0,,,
,14,797,conf-797,204.6112,-1447.550246,,2.11,17.86,30.18,0,,0,0,0,,,
,15,879,conf-879,228.0041,-1447.530202,,12.15,30.44,51.43,0,,0,0,0,,,
,16,883,conf-883,203.3584,-1447.550352,,1.5,17.79,30.06,0,,0,0,0,,,
,17,962,conf-962,237.9501,-1447.52285,,15.82,35.05,59.23,0,,0,0,0,,,
,18,966,conf-966,204.9874,-1447.559015,,2.29,12.36,20.88,0,,0,0,0,,,
