(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,245.0905,-2054.027432,229.7,6.28,35.99,60.81,0.00,1.00,0.00,0.00,0.00,233.80,233.80,1.75
,1,34,conf-34,249.744,-2054.055985,,8.03,18.07,30.54,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,246.6261,-2054.039673,,6.86,28.31,47.83,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,245.5249,-2054.042529,,6.45,26.52,44.81,0.00,,0.00,0.00,0.00,,,
,4,123,conf-123,243.3112,-2054.069575,,5.59,9.55,16.13,0.00,,0.00,0.00,0.00,,,
,5,126,conf-126,259.2958,-2054.015031,,11.41,43.77,73.96,0.00,,0.00,0.00,0.00,,,
,6,197,conf-197,241.7138,-2054.069787,,4.97,9.41,15.90,0.00,,0.00,0.00,0.00,,,
,7,315,conf-315,283.4397,-2054.002185,,18.96,51.83,87.58,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,233.802,-2054.084788,,1.75,0.00,0.00,1.00,,1.00,233.80,233.80,,,
,9,684,conf-684,280.4332,-2054.016654,,18.09,42.75,72.24,0.00,,0.00,0.00,0.00,,,
,10,703,conf-703,302.5392,-2053.926353,,24.08,99.42,167.98,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,314.233,-2053.907493,,26.90,111.25,187.98,0.00,,0.00,0.00,0.00,,,
,12,771,conf-771,237.9174,-2054.054819,,3.45,18.81,31.78,0.00,,0.00,0.00,0.00,,,
,13,807,conf-807,279.7241,-2054.001145,,17.88,52.49,88.68,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,243.3385,-2054.032689,,5.60,32.69,55.24,0.00,,0.00,0.00,0.00,,,
