(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,259.4557,-2054.021642,229.7,11.47,27.85,47.06,0,1,0,0,0,245.07,245.07,6.27
,1,81,conf-81,251.0814,-2054.045847,,8.52,12.66,21.4,0,,0,0,0,,,
,2,95,conf-95,287.581,-2053.977346,,20.13,55.65,94.03,0,,0,0,0,,,
,3,102,conf-102,277.6098,-2053.967987,,17.26,61.52,103.95,0,,0,0,0,,,
,4,123,conf-123,271.8064,-2054.042304,,15.49,14.89,25.15,0,,0,0,0,,,
,5,197,conf-197,268.1381,-2054.013914,,14.34,32.7,55.25,0,,0,0,0,,,
,6,205,conf-205,261.7768,-2053.981105,,12.25,53.29,90.04,0,,0,0,0,,,
,7,242,conf-242,243.9681,-2054.034486,,5.85,19.79,33.44,0,,0,0,0,,,
,8,293,conf-293,278.0523,-2054.010863,,17.39,34.61,58.49,0,,0,0,0,,,
,9,302,conf-302,276.6876,-2053.963185,,16.98,64.53,109.04,0,,0,0,0,,,
,10,428,conf-428,268.5385,-2054.029691,,14.46,22.8,38.52,0,,0,0,0,,,
,11,549,conf-549,262.2523,-2054.00862,,12.41,36.02,60.87,0,,0,0,0,,,
,12,602,conf-602,258.1874,-2053.988989,,11.03,48.34,81.68,0,,0,0,0,,,
,13,684,conf-684,245.0717,-2054.066026,,6.27,0,0,1,,1,245.07,245.07,,,
,14,747,conf-747,253.0639,-2053.993723,,9.23,45.37,76.66,0,,0,0,0,,,
,15,772,conf-772,277.061,-2053.969898,,17.09,60.32,101.92,0,,0,0,0,,,
,16,883,conf-883,265.0318,-2054.052079,,13.33,8.75,14.79,0,,0,0,0,,,
,17,962,conf-962,255.3643,-2054.028242,,10.05,23.71,40.06,0,,0,0,0,,,
,18,966,conf-966,252.8633,-2054.045315,,9.16,13,21.96,0,,0,0,0,,,
