(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,257.882,-2054.113159,229.7,10.93,36.13,61.05,0.00,1.72,0.00,0.00,0.00,419.32,243.40,5.63
,1,34,conf-34,243.4316,-2054.150059,,5.64,12.97,21.92,0.00,,0.00,0.00,0.00,,,
,2,90,conf-90,261.1118,-2054.137273,,12.03,21.00,35.48,0.00,,0.00,0.00,0.00,,,
,3,112,conf-112,256.9423,-2054.11816,,10.60,32.99,55.75,0.00,,0.00,0.00,0.00,,,
,4,123,conf-123,244.8795,-2054.170736,,6.20,0.00,0.00,1.00,,0.58,244.88,142.14,,,
,5,126,conf-126,263.7255,-2054.110244,,12.90,37.96,64.14,0.00,,0.00,0.00,0.00,,,
,6,197,conf-197,255.862,-2054.102955,,10.23,42.53,71.87,0.00,,0.00,0.00,0.00,,,
,7,315,conf-315,268.5324,-2054.091301,,14.46,49.85,84.22,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,241.3478,-2054.17043,,4.83,0.19,0.32,0.72,,0.42,174.44,101.26,,,
,9,474,conf-474,254.7146,-2054.14866,,9.82,13.85,23.41,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,251.904,-2054.140448,,8.81,19.01,32.11,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,286.3922,-2054.090153,,19.80,50.57,85.44,0.00,,0.00,0.00,0.00,,,
,12,703,conf-703,251.4057,-2054.140744,,8.63,18.82,31.80,0.00,,0.00,0.00,0.00,,,
,13,727,conf-727,267.6154,-2054.071384,,14.17,62.34,105.34,0.00,,0.00,0.00,0.00,,,
,14,771,conf-771,253.0782,-2054.130782,,9.24,25.07,42.36,0.00,,0.00,0.00,0.00,,,
,15,807,conf-807,275.3974,-2054.089823,,16.59,50.77,85.79,0.00,,0.00,0.00,0.00,,,
,16,879,conf-879,249.499,-2054.104973,,7.94,41.27,69.73,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,258.1111,-2054.095278,,11.01,47.35,80.01,0.00,,0.00,0.00,0.00,,,
