,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,256.8907,-2054.045181,229.7,10.58,37.80,63.87,0.00,1.00,0.00,0.00,0.00,241.93,241.93,5.06
1,34,conf-34,252.9331,-2054.082246,,9.19,14.54,24.57,0.00,,0.00,0.00,0.00,,,
2,90,conf-90,260.6147,-2054.070733,,11.86,21.76,36.78,0.00,,0.00,0.00,0.00,,,
3,112,conf-112,254.284,-2054.044888,,9.67,37.98,64.18,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,254.9361,-2054.05615,,9.90,30.92,52.24,0.00,,0.00,0.00,0.00,,,
5,126,conf-126,262.1612,-2054.036817,,12.38,43.05,72.73,0.00,,0.00,0.00,0.00,,,
6,197,conf-197,246.3677,-2054.06372,,6.77,26.16,44.21,0.00,,0.00,0.00,0.00,,,
7,315,conf-315,269.0568,-2054.043046,,14.63,39.14,66.13,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,241.9318,-2054.105417,,5.06,0.00,0.00,1.00,,1.00,241.93,241.93,,,
9,474,conf-474,253.4301,-2054.071572,,9.36,21.24,35.89,0.00,,0.00,0.00,0.00,,,
10,669,conf-669,279.2892,-2053.978647,,17.76,79.55,134.41,0.00,,0.00,0.00,0.00,,,
11,684,conf-684,272.8815,-2053.982647,,15.82,77.04,130.17,0.00,,0.00,0.00,0.00,,,
12,703,conf-703,251.0342,-2054.05989,,8.50,28.57,48.27,0.00,,0.00,0.00,0.00,,,
13,727,conf-727,285.3313,-2053.95138,,19.50,96.66,163.32,0.00,,0.00,0.00,0.00,,,
14,771,conf-771,253.6163,-2054.063584,,9.43,26.25,44.35,0.00,,0.00,0.00,0.00,,,
15,807,conf-807,297.5735,-2054.014531,,22.81,57.03,96.36,0.00,,0.00,0.00,0.00,,,
16,879,conf-879,249.5082,-2054.041971,,7.94,39.81,67.27,0.00,,0.00,0.00,0.00,,,
17,950,conf-950,252.3644,-2054.044527,,8.98,38.21,64.56,0.00,,0.00,0.00,0.00,,,
