,order,file,ave_TM_CS,HF_energy
0,12,conf-12,286.8136,-2053.8970594
1,112,conf-112,253.4726,-2054.0067095
2,156,conf-156,267.8036,-2053.9506456
3,205,conf-205,301.1464,-2053.9057204
4,234,conf-234,268.6936,-2053.9299364
5,304,conf-304,247.5593,-2054.0398689
6,315,conf-315,282.1614,-2053.9247598
7,472,conf-472,248.262,-2054.0180314
8,549,conf-549,261.0625,-2053.9741868
9,584,conf-584,260.1146,-2053.9635993
10,617,conf-617,263.4469,-2054.0343334000004
11,662,conf-662,286.0758,-2054.0215360999996
12,684,conf-684,291.6331,-2054.0076249000003
13,746,conf-746,284.0321,-2054.0297199
14,879,conf-879,257.8061,-2054.0108977
15,883,conf-883,256.5048,-2054.0391619
16,962,conf-962,284.5597,-2054.0295772
