,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,279.9532,-2053.946413,229.7,17.95,12.49,21.10,0.00,1.00,0.00,0.00,0.00,267.44,267.43,14.11
1,34,conf-34,278.8483,-2053.945451,,17.63,13.09,22.12,0.00,,0.00,0.00,0.00,,,
2,102,conf-102,273.6949,-2053.926551,,16.07,24.95,42.16,0.00,,0.00,0.00,0.00,,,
3,121,conf-121,272.4732,-2053.929244,,15.70,23.26,39.30,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,270.9235,-2053.939642,,15.22,16.74,28.28,0.00,,0.00,0.00,0.00,,,
5,156,conf-156,267.1922,-2053.924575,,14.03,26.19,44.25,0.00,,0.00,0.00,0.00,,,
6,231,conf-231,297.083,-2053.893541,,22.68,45.66,77.16,0.00,,0.00,0.00,0.00,,,
7,234,conf-234,261.7142,-2053.957009,,12.23,5.84,9.86,0.00,,0.00,0.01,0.01,,,
8,472,conf-472,267.5912,-2053.940466,,14.16,16.22,27.40,0.00,,0.00,0.00,0.00,,,
9,474,conf-474,274.163,-2053.941884,,16.22,15.33,25.90,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,261.2151,-2053.937769,,12.06,17.91,30.26,0.00,,0.00,0.00,0.00,,,
11,684,conf-684,289.4062,-2053.941673,,20.63,15.46,26.12,0.00,,0.00,0.00,0.00,,,
12,746,conf-746,285.5854,-2053.935173,,19.57,19.54,33.02,0.00,,0.00,0.00,0.00,,,
13,772,conf-772,264.1812,-2053.924582,,13.05,26.19,44.25,0.00,,0.00,0.00,0.00,,,
14,866,conf-866,267.4287,-2053.966312,,14.11,0.00,0.00,1.00,,1.00,267.43,267.41,,,
15,879,conf-879,276.5435,-2053.938032,,16.94,17.75,29.98,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,278.5251,-2053.907353,,17.53,37.00,62.51,0.00,,0.00,0.00,0.00,,,
17,950,conf-950,273.7612,-2053.927358,,16.09,24.44,41.30,0.00,,0.00,0.00,0.00,,,
