(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,90,conf-90,275.1091,-2053.884086,229.7,16.51,25.92,43.79,0,1,0,0,0,248.64,248.64,7.62
,1,95,conf-95,250.8346,-2053.872803,,8.43,33,55.75,0,,0,0,0,,,
,2,102,conf-102,278.595,-2053.902496,,17.55,14.36,24.27,0,,0,0,0,,,
,3,156,conf-156,254.031,-2053.895093,,9.58,19.01,32.12,0,,0,0,0,,,
,4,308,conf-308,248.6359,-2053.925386,,7.62,0,0,1,,1,248.64,248.64,,,
,5,448,conf-448,268.9422,-2053.892924,,14.59,20.37,34.42,0,,0,0,0,,,
,6,472,conf-472,295.5082,-2053.87983,,22.27,28.59,48.3,0,,0,0,0,,,
,7,474,conf-474,276.3892,-2053.876665,,16.89,30.57,51.66,0,,0,0,0,,,
,8,497,conf-497,296.9229,-2053.884139,,22.64,25.88,43.73,0,,0,0,0,,,
,9,538,conf-538,280.2324,-2053.881863,,18.03,27.31,46.15,0,,0,0,0,,,
,10,549,conf-549,279.4505,-2053.903261,,17.8,13.88,23.46,0,,0,0,0,,,
,11,586,conf-586,254.787,-2053.902618,,9.85,14.29,24.14,0,,0,0,0,,,
,12,602,conf-602,295.7122,-2053.888792,,22.32,22.96,38.8,0,,0,0,0,,,
,13,674,conf-674,257.0095,-2053.883469,,10.63,26.3,44.44,0,,0,0,0,,,
,14,727,conf-727,280.28,-2053.824808,,18.05,63.11,106.64,0,,0,0,0,,,
,15,736,conf-736,273.9991,-2053.879872,,16.17,28.56,48.26,0,,0,0,0,,,
,16,746,conf-746,281.236,-2053.887453,,18.32,23.8,40.22,0,,0,0,0,,,
,17,796,conf-796,289.5243,-2053.89238,,20.66,20.71,35,0,,0,0,0,,,
,18,797,conf-797,255.6667,-2053.900724,,10.16,15.48,26.15,0,,0,0,0,,,
,19,879,conf-879,238.4733,-2053.883491,,3.68,26.29,44.42,0,,0,0,0,,,
,20,883,conf-883,268.9842,-2053.806372,,14.6,74.68,126.19,0,,0,0,0,,,
,21,885,conf-885,275.4141,-2053.885906,,16.6,24.77,41.86,0,,0,0,0,,,
,22,966,conf-966,281.0437,-2053.917149,,18.27,5.17,8.73,0,,0,0.05,0.05,,,
,23,981,conf-981,269.8512,-2053.900571,,14.88,15.57,26.31,0,,0,0,0,,,
