(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,90,conf-90,250.1223,-2054.069181,229.7,8.16,43.81,74.03,0.00,1.00,0.00,0.00,0.00,241.73,241.73,4.98
,1,95,conf-95,245.1086,-2054.091708,,6.29,29.68,50.15,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,255.0577,-2054.104237,,9.94,21.82,36.86,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,248.7659,-2054.094071,,7.66,28.20,47.64,0.00,,0.00,0.00,0.00,,,
,4,308,conf-308,241.7279,-2054.139005,,4.98,0.00,0.00,1.00,,1.00,241.73,241.73,,,
,5,448,conf-448,246.7702,-2054.006493,,6.92,83.15,140.50,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,272.1098,-2054.050808,,15.59,55.34,93.51,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,256.999,-2054.091146,,10.62,30.03,50.74,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,252.8066,-2054.087751,,9.14,32.16,54.34,0.00,,0.00,0.00,0.00,,,
,9,538,conf-538,256.1841,-2054.099665,,10.34,24.69,41.71,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,260.8524,-2054.092007,,11.94,29.49,49.83,0.00,,0.00,0.00,0.00,,,
,11,586,conf-586,248.4229,-2054.121477,,7.54,11.00,18.58,0.00,,0.00,0.00,0.00,,,
,12,602,conf-602,290.6333,-2054.06028,,20.97,49.40,83.47,0.00,,0.00,0.00,0.00,,,
,13,674,conf-674,251.5847,-2054.075277,,8.70,39.99,67.57,0.00,,0.00,0.00,0.00,,,
,14,727,conf-727,270.1445,-2054.104231,,14.97,21.82,36.87,0.00,,0.00,0.00,0.00,,,
,15,736,conf-736,258.5505,-2054.065567,,11.16,46.08,77.86,0.00,,0.00,0.00,0.00,,,
,16,746,conf-746,256.42,-2054.091138,,10.42,30.04,50.75,0.00,,0.00,0.00,0.00,,,
,17,796,conf-796,269.0433,-2054.079036,,14.62,37.63,63.58,0.00,,0.00,0.00,0.00,,,
,18,797,conf-797,234.9958,-2054.097591,,2.25,25.99,43.91,0.00,,0.00,0.00,0.00,,,
,19,879,conf-879,233.7203,-2054.095242,,1.72,27.46,46.40,0.00,,0.00,0.00,0.00,,,
,20,883,conf-883,239.4131,-2054.117948,,4.06,13.21,22.33,0.00,,0.00,0.00,0.00,,,
,21,885,conf-885,249.7912,-2054.097377,,8.04,26.12,44.14,0.00,,0.00,0.00,0.00,,,
,22,966,conf-966,246.5411,-2054.095145,,6.83,27.52,46.50,0.00,,0.00,0.00,0.00,,,
,23,981,conf-981,261.6862,-2054.080204,,12.22,36.90,62.35,0.00,,0.00,0.00,0.00,,,
