(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,275.3597,-1525.964553,203.2,26.21,198.35,335.15,0.00,1.00,0.00,0.00,0.00,212.32,212.32,4.29
,1,102,conf-102,281.9742,-1525.9873,,27.94,184.08,311.03,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,222.4674,-1526.256866,,8.66,14.92,25.22,0.00,,0.00,0.00,0.00,,,
,3,217,conf-217,280.5291,-1525.998155,,27.57,177.26,299.52,0.00,,0.00,0.00,0.00,,,
,4,222,conf-222,226.1549,-1526.174471,,10.15,66.63,112.58,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,212.315,-1526.280648,,4.29,0.00,0.00,1.00,,1.00,212.32,212.31,,,
,6,446,conf-446,277.4584,-1525.977411,,26.76,190.28,321.51,0.00,,0.00,0.00,0.00,,,
,7,451,conf-451,280.9938,-1525.996063,,27.69,178.58,301.74,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,221.0423,-1526.259779,,8.07,13.10,22.13,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,276.3099,-1526.019321,,26.46,163.98,277.08,0.00,,0.00,0.00,0.00,,,
,10,662,conf-662,276.0206,-1526.000085,,26.38,176.05,297.47,0.00,,0.00,0.00,0.00,,,
,11,772,conf-772,219.8582,-1526.265941,,7.58,9.23,15.59,0.00,,0.00,0.00,0.00,,,
,12,841,conf-841,268.6727,-1525.981186,,24.37,187.91,317.51,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,216.227,-1526.20675,,6.02,46.37,78.35,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,277.7054,-1526.002918,,26.83,174.28,294.47,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,274.8886,-1526.001711,,26.08,175.03,295.75,0.00,,0.00,0.00,0.00,,,
