,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,3,conf-3,229.218,-1526.204075,203.2,11.35,21.63,36.55,0.00,1.00,0.00,0.00,0.00,226.38,226.38,10.24
1,112,conf-112,231.9769,-1526.13136,,12.41,67.26,113.65,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,244.1566,-1526.132603,,16.77,66.48,112.33,0.00,,0.00,0.00,0.00,,,
3,197,conf-197,233.02,-1526.20305,,12.80,22.27,37.64,0.00,,0.00,0.00,0.00,,,
4,217,conf-217,215.8637,-1526.128592,,5.87,69.00,116.58,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,219.9656,-1526.180679,,7.62,36.31,61.36,0.00,,0.00,0.00,0.00,,,
6,294,conf-294,246.9926,-1526.118995,,17.73,75.02,126.76,0.00,,0.00,0.00,0.00,,,
7,472,conf-472,231.7955,-1526.175608,,12.34,39.49,66.73,0.00,,0.00,0.00,0.00,,,
8,549,conf-549,229.5356,-1526.141621,,11.47,60.82,102.77,0.00,,0.00,0.00,0.00,,,
9,684,conf-684,243.7441,-1526.113712,,16.63,78.33,132.36,0.00,,0.00,0.00,0.00,,,
10,746,conf-746,231.0456,-1526.180224,,12.05,36.60,61.84,0.00,,0.00,0.00,0.00,,,
11,771,conf-771,230.7284,-1526.204565,,11.93,21.32,36.03,0.00,,0.00,0.00,0.00,,,
12,879,conf-879,233.2005,-1526.158493,,12.86,50.23,84.88,0.00,,0.00,0.00,0.00,,,
13,883,conf-883,226.3783,-1526.238547,,10.24,0.00,0.00,1.00,,1.00,226.38,226.38,,,
