(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,209.507,-1526.316721,203.2,3.01,3.90,6.59,0.00,1.00,0.00,0.29,0.29,206.06,205.78,1.25
,1,90,conf-90,205.7751,-1526.322933,,1.25,0.00,0.00,1.00,,1.00,205.78,205.49,,,
,2,123,conf-123,250.7788,-1526.179765,,18.97,89.84,151.80,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,231.8209,-1526.26153,,12.35,38.53,65.10,0.00,,0.00,0.00,0.00,,,
,4,205,conf-205,235.2128,-1526.243271,,13.61,49.99,84.46,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,264.6453,-1526.133235,,23.22,119.04,201.13,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,233.3095,-1526.246438,,12.91,48.00,81.11,0.00,,0.00,0.00,0.00,,,
,7,315,conf-315,211.8398,-1526.307808,,4.08,9.49,16.04,0.00,,0.00,0.00,0.00,,,
,8,428,conf-428,226.4537,-1526.264394,,10.27,36.73,62.07,0.00,,0.00,0.00,0.00,,,
,9,446,conf-446,242.0358,-1526.260662,,16.05,39.07,66.02,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,207.7626,-1526.308282,,2.20,9.19,15.53,0.00,,0.00,0.00,0.00,,,
,11,474,conf-474,205.515,-1526.269186,,1.13,33.73,56.99,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,218.947,-1526.307188,,7.19,9.88,16.69,0.00,,0.00,0.00,0.00,,,
,13,746,conf-746,216.0858,-1526.273066,,5.96,31.29,52.87,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,214.8018,-1526.258406,,5.40,40.49,68.42,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,221.942,-1526.300148,,8.44,14.30,24.16,0.00,,0.00,0.00,0.00,,,
,16,948,conf-948,210.0343,-1526.301507,,3.25,13.44,22.72,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,214.3055,-1526.3079,,5.18,9.43,15.94,0.00,,0.00,0.00,0.00,,,
