,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
17,684,conf-684,208.6819,-1526.195011,203.2,2.63,23.82,40.25,0.00,1.00,0.00,0.00,0.00,210.46,210.46,3.45
25,961,conf-961,210.1623,-1526.217164,,3.31,9.92,16.76,0.00,,0.00,0.00,0.00,,,
21,797,conf-797,210.4628,-1526.232971,,3.45,0.00,0.00,1.00,,1.00,210.46,210.46,,,
20,796,conf-796,213.2413,-1526.16818,,4.71,40.66,68.70,0.00,,0.00,0.00,0.00,,,
2,90,conf-90,213.7415,-1526.109752,,4.93,77.32,130.65,0.00,,0.00,0.00,0.00,,,
5,222,conf-222,219.6268,-1526.163678,,7.48,43.48,73.47,0.00,,0.00,0.00,0.00,,,
0,34,conf-34,220.2871,-1526.164354,,7.76,43.06,72.75,0.00,,0.00,0.00,0.00,,,
8,306,conf-306,220.9105,-1526.175272,,8.02,36.21,61.18,0.00,,0.00,0.00,0.00,,,
23,883,conf-883,222.0651,-1526.15331,,8.50,49.99,84.46,0.00,,0.00,0.00,0.00,,,
26,962,conf-962,223.724,-1526.178189,,9.17,34.38,58.08,0.00,,0.00,0.00,0.00,,,
16,586,conf-586,237.3943,-1525.958591,,14.40,172.17,290.92,0.00,,0.00,0.00,0.00,,,
18,746,conf-746,242.5812,-1525.989076,,16.23,153.04,258.59,0.00,,0.00,0.00,0.00,,,
13,472,conf-472,243.813,-1525.919141,,16.66,196.93,332.75,0.00,,0.00,0.00,0.00,,,
12,384,conf-384,252.6608,-1525.937216,,19.58,185.59,313.58,0.00,,0.00,0.00,0.00,,,
15,584,conf-584,252.6785,-1525.911512,,19.58,201.72,340.83,0.00,,0.00,0.00,0.00,,,
11,382,conf-382,256.4032,-1525.938179,,20.75,184.98,312.56,0.00,,0.00,0.00,0.00,,,
9,331,conf-331,257.4861,-1525.921532,,21.08,195.43,330.21,0.00,,0.00,0.00,0.00,,,
10,367,conf-367,257.6276,-1525.936758,,21.13,185.87,314.07,0.00,,0.00,0.00,0.00,,,
7,305,conf-305,258.9991,-1525.91467,,21.54,199.73,337.49,0.00,,0.00,0.00,0.00,,,
4,156,conf-156,261.6105,-1525.912095,,22.33,201.35,340.22,0.00,,0.00,0.00,0.00,,,
3,112,conf-112,263.5231,-1525.872964,,22.89,225.90,381.71,0.00,,0.00,0.00,0.00,,,
22,879,conf-879,265.8944,-1525.907636,,23.58,204.15,344.94,0.00,,0.00,0.00,0.00,,,
24,892,conf-892,265.9394,-1525.871647,,23.59,226.73,383.10,0.00,,0.00,0.00,0.00,,,
19,794,conf-794,266.3781,-1525.888279,,23.72,216.29,365.47,0.00,,0.00,0.00,0.00,,,
14,578,conf-578,266.5015,-1525.856525,,23.75,236.22,399.14,0.00,,0.00,0.00,0.00,,,
1,51,conf-51,268.6264,-1525.93084,,24.36,189.59,320.34,0.00,,0.00,0.00,0.00,,,
6,234,conf-234,272.4412,-1525.870945,,25.42,227.17,383.85,0.00,,0.00,0.00,0.00,,,
