(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,233.1793,-1526.305347,203.2,12.86,12.15,20.54,0.00,1.20,0.00,0.00,0.00,253.33,211.85,4.08
,1,95,conf-95,235.4575,-1526.304518,,13.70,12.67,21.41,0.00,,0.00,0.00,0.00,,,
,2,110,conf-110,220.13,-1526.320327,,7.69,2.75,4.65,0.01,,0.01,2.10,1.76,,,
,3,112,conf-112,213.3878,-1526.319471,,4.77,3.29,5.56,0.00,,0.00,0.82,0.69,,,
,4,123,conf-123,233.261,-1526.290434,,12.89,21.51,36.35,0.00,,0.00,0.00,0.00,,,
,5,306,conf-306,221.1871,-1526.298996,,8.13,16.14,27.27,0.00,,0.00,0.00,0.00,,,
,6,353,conf-353,223.7262,-1526.298894,,9.17,16.20,27.38,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,224.9908,-1526.306589,,9.69,11.37,19.22,0.00,,0.00,0.00,0.00,,,
,8,538,conf-538,228.8886,-1526.320614,,11.22,2.57,4.35,0.01,,0.01,2.96,2.47,,,
,9,549,conf-549,213.8149,-1526.307647,,4.96,10.71,18.10,0.00,,0.00,0.00,0.00,,,
,10,553,conf-553,223.2532,-1526.299179,,8.98,16.02,27.08,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,227.3016,-1526.301529,,10.60,14.55,24.58,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,223.6127,-1526.323041,,9.13,1.05,1.77,0.17,,0.14,37.90,31.70,,,
,13,771,conf-771,220.5761,-1526.302784,,7.88,13.76,23.25,0.00,,0.00,0.00,0.00,,,
,14,772,conf-772,227.5133,-1526.303494,,10.69,13.32,22.50,0.00,,0.00,0.00,0.00,,,
,15,817,conf-817,209.5517,-1526.324715,,3.03,0.00,0.00,1.00,,0.84,209.55,175.24,,,
,16,879,conf-879,212.3867,-1526.320608,,4.33,2.58,4.35,0.01,,0.01,2.73,2.28,,,
,17,883,conf-883,219.3917,-1526.304389,,7.38,12.75,21.55,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,215.5265,-1526.307225,,5.72,10.97,18.54,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,216.1576,-1526.318743,,5.99,3.75,6.33,0.00,,0.00,0.38,0.32,,,
