,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,275.3597,-1525.887124,203.2,26.21,213.60,360.92,0.00,1.00,0.00,0.00,0.00,206.67,206.60,1.65
1,102,conf-102,281.9367,-1525.918055,,27.93,194.19,328.12,0.00,,0.00,0.00,0.00,,,
2,123,conf-123,226.9355,-1526.190802,,10.46,23.04,38.93,0.00,,0.00,0.00,0.00,,,
3,217,conf-217,280.5291,-1525.92803,,27.57,187.93,317.54,0.00,,0.00,0.00,0.00,,,
4,222,conf-222,206.5963,-1526.227523,,1.64,0.00,0.00,1.00,,1.00,206.60,206.53,,,
5,234,conf-234,215.4831,-1526.219994,,5.70,4.72,7.98,0.00,,0.00,0.07,0.07,,,
6,446,conf-446,277.4584,-1525.90318,,26.76,203.53,343.89,0.00,,0.00,0.00,0.00,,,
7,451,conf-451,280.9938,-1525.92707,,27.69,188.53,318.56,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,227.7709,-1526.193702,,10.79,21.22,35.86,0.00,,0.00,0.00,0.00,,,
9,474,conf-474,276.3099,-1525.947701,,26.46,175.59,296.69,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,241.4356,-1526.128307,,15.84,62.26,105.20,0.00,,0.00,0.00,0.00,,,
11,578,conf-578,246.3105,-1526.081392,,17.50,91.70,154.94,0.00,,0.00,0.00,0.00,,,
12,662,conf-662,276.0206,-1525.928256,,26.38,187.79,317.31,0.00,,0.00,0.00,0.00,,,
13,772,conf-772,221.6516,-1526.200772,,8.32,16.79,28.36,0.00,,0.00,0.00,0.00,,,
14,841,conf-841,268.6727,-1525.905642,,24.37,201.98,341.28,0.00,,0.00,0.00,0.00,,,
15,879,conf-879,227.512,-1526.113667,,10.69,71.44,120.72,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,277.7054,-1525.931113,,26.83,186.00,314.28,0.00,,0.00,0.00,0.00,,,
17,962,conf-962,274.8886,-1525.93066,,26.08,186.28,314.76,0.00,,0.00,0.00,0.00,,,
