(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,275.3597,-1525.964553,203.2,26.21,221.47,374.22,0.00,1.00,0.00,0.00,0.00,204.93,204.88,0.82
,1,102,conf-102,281.9367,-1525.987305,,27.93,207.20,350.10,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,225.3628,-1526.276915,,9.83,25.47,43.03,0.00,,0.00,0.00,0.00,,,
,3,217,conf-217,280.5291,-1525.998155,,27.57,200.39,338.59,0.00,,0.00,0.00,0.00,,,
,4,222,conf-222,204.8777,-1526.317501,,0.82,0.00,0.00,1.00,,1.00,204.88,204.83,,,
,5,234,conf-234,213.7929,-1526.307551,,4.95,6.24,10.55,0.00,,0.00,0.01,0.01,,,
,6,446,conf-446,277.4584,-1525.977411,,26.76,213.41,360.59,0.00,,0.00,0.00,0.00,,,
,7,451,conf-451,280.9938,-1525.996063,,27.69,201.70,340.81,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,225.227,-1526.280221,,9.78,23.39,39.53,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,276.3099,-1526.019321,,26.46,187.11,316.15,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,237.8967,-1526.205379,,14.58,70.36,118.88,0.00,,0.00,0.00,0.00,,,
,11,578,conf-578,242.9459,-1526.156636,,16.36,100.94,170.56,0.00,,0.00,0.00,0.00,,,
,12,662,conf-662,276.0206,-1526.000085,,26.38,199.18,336.55,0.00,,0.00,0.00,0.00,,,
,13,772,conf-772,220.9541,-1526.284984,,8.04,20.40,34.48,0.00,,0.00,0.00,0.00,,,
,14,841,conf-841,268.6727,-1525.981186,,24.37,211.04,356.59,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,199.2863,-1526.309546,,1.96,4.99,8.43,0.00,,0.00,0.04,0.04,,,
,16,883,conf-883,277.7054,-1526.002918,,26.83,197.40,333.54,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,274.8886,-1526.001711,,26.08,198.16,334.82,0.00,,0.00,0.00,0.00,,,
