(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,275.3597,-1526.017901,203.2,26.21,221.29,373.91,0.00,1.00,0.00,0.00,0.00,204.54,204.43,0.60
,1,102,conf-102,281.9367,-1526.040066,,27.93,207.38,350.41,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,225.4254,-1526.328653,,9.86,26.29,44.42,0.00,,0.00,0.00,0.00,,,
,3,217,conf-217,280.5291,-1526.051178,,27.57,200.41,338.62,0.00,,0.00,0.00,0.00,,,
,4,222,conf-222,204.4359,-1526.370552,,0.60,0.00,0.00,1.00,,1.00,204.44,204.33,,,
,5,234,conf-234,214.8556,-1526.356692,,5.42,8.70,14.69,0.00,,0.00,0.00,0.00,,,
,6,446,conf-446,277.4584,-1526.03016,,26.76,213.60,360.91,0.00,,0.00,0.00,0.00,,,
,7,451,conf-451,280.9938,-1526.049515,,27.69,201.45,340.39,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,224.6812,-1526.332161,,9.56,24.09,40.70,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,276.3099,-1526.072369,,26.46,187.11,316.16,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,242.437,-1526.210576,,16.18,100.39,169.62,0.00,,0.00,0.00,0.00,,,
,11,578,conf-578,242.5362,-1526.210574,,16.22,100.39,169.62,0.00,,0.00,0.00,0.00,,,
,12,662,conf-662,276.0206,-1526.053298,,26.38,199.08,336.38,0.00,,0.00,0.00,0.00,,,
,13,772,conf-772,220.207,-1526.337493,,7.72,20.74,35.05,0.00,,0.00,0.00,0.00,,,
,14,841,conf-841,268.6727,-1526.0346,,24.37,210.81,356.20,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,198.4704,-1526.363436,,2.38,4.47,7.55,0.00,,0.00,0.10,0.10,,,
,16,883,conf-883,277.7054,-1526.056131,,26.83,197.30,333.37,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,274.8886,-1526.054938,,26.08,198.05,334.64,0.00,,0.00,0.00,0.00,,,
