,order,file,ave_TM_CS,HF_energy
0,102,conf-102,399.6572,-2974.0348257
1,123,conf-123,335.971,-2974.0870208
2,197,conf-197,381.8292,-2974.03855
3,217,conf-217,391.0675,-2974.0376429
4,231,conf-231,357.7718,-2974.0364318
5,304,conf-304,389.6634,-2974.0508243
6,306,conf-306,397.1485,-2974.0075534
7,364,conf-364,353.7169,-2974.0374323
8,367,conf-367,391.9913,-2974.0280509
9,399,conf-399,383.2491,-2974.0181718
10,448,conf-448,387.3571,-2974.0426562
11,474,conf-474,374.5301,-2974.0461752
12,497,conf-497,389.6982,-2974.0476428
13,625,conf-625,389.0729,-2974.0432955
14,669,conf-669,333.4103,-2974.0864512
15,684,conf-684,391.5818,-2974.005498
16,727,conf-727,380.2383,-2974.0271023
17,746,conf-746,381.2336,-2974.0101674
18,883,conf-883,326.8812,-2974.0625381
19,950,conf-950,403.0171,-2973.9711565
20,961,conf-961,388.5099,-2973.9777119
21,962,conf-962,388.4234,-2974.0372331
22,966,conf-966,400.3911,-2974.0475677
