(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,16,727,conf-727,306.4095,-2974.386686,293.1,4.34,0.00,0.00,1.00,1.00,1.00,306.41,306.41,306.41,306.41,4.34
,10,477,conf-477,307.9099,-2974.359622,,4.81,16.98,28.70,0.00,,0.00,0.00,0.00,,,
,14,608,conf-608,312.0443,-2974.32562,,6.07,38.32,64.75,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,315.3066,-2974.340334,,7.04,29.09,49.15,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,317.1942,-2974.365113,,7.60,13.54,22.87,0.00,,0.00,0.00,0.00,,,
,1,34,conf-34,331.5347,-2974.322224,,11.59,40.45,68.35,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,333.9084,-2974.325075,,12.22,38.66,65.33,0.00,,0.00,0.00,0.00,,,
,12,586,conf-586,336.3525,-2974.310862,,12.86,47.58,80.39,0.00,,0.00,0.00,0.00,,,
,13,607,conf-607,338.462,-2974.321374,,13.40,40.98,69.25,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,344.0502,-2974.327446,,14.81,37.17,62.81,0.00,,0.00,0.00,0.00,,,
,7,365,conf-365,347.7222,-2974.322388,,15.71,40.35,68.17,0.00,,0.00,0.00,0.00,,,
,17,890,conf-890,353.9866,-2974.317347,,17.20,43.51,73.52,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,385.2234,-2974.083446,,23.91,190.28,321.52,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,388.527,-2974.181566,,24.56,128.71,217.48,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,389.7394,-2974.139493,,24.80,155.11,262.09,0.00,,0.00,0.00,0.00,,,
,15,684,conf-684,396.8731,-2974.163988,,26.15,139.74,236.12,0.00,,0.00,0.00,0.00,,,
,18,961,conf-961,400.0698,-2974.308075,,26.74,49.33,83.35,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,418.5583,-2974.150434,,29.97,148.25,250.49,0.00,,0.00,0.00,0.00,,,
,0,14,conf-14,430.2116,-2974.137556,,31.87,156.33,264.15,0.00,,0.00,0.00,0.00,,,
