(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,430.2116,-2973.873235,293.1,31.87,128.22,216.65,0.00,1.00,0.00,0.00,0.00,344.20,344.20,14.85
,1,34,conf-34,394.3476,-2973.888485,,25.67,118.65,200.48,0.00,,0.00,0.00,0.00,,,
,2,112,conf-112,389.7394,-2973.855911,,24.80,139.09,235.02,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,347.0838,-2974.050254,,15.55,17.14,28.96,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,387.5293,-2973.859349,,24.37,136.93,231.37,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,368.4295,-2974.019663,,20.45,36.34,61.39,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,403.8553,-2973.898809,,27.42,112.17,189.53,0.00,,0.00,0.00,0.00,,,
,7,365,conf-365,359.2844,-2974.058424,,18.42,12.01,20.30,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,395.2964,-2973.868111,,25.85,131.43,222.08,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,418.5583,-2973.883752,,29.97,121.62,205.50,0.00,,0.00,0.00,0.00,,,
,10,477,conf-477,344.1997,-2974.077568,,14.85,0.00,0.00,1.00,,1.00,344.20,344.20,,,
,11,549,conf-549,388.527,-2973.898256,,24.56,112.52,190.12,0.00,,0.00,0.00,0.00,,,
,12,586,conf-586,388.8601,-2974.039237,,24.63,24.05,40.64,0.00,,0.00,0.00,0.00,,,
,13,607,conf-607,364.6984,-2974.037099,,19.63,25.39,42.91,0.00,,0.00,0.00,0.00,,,
,14,608,conf-608,420.1801,-2973.882851,,30.24,122.18,206.45,0.00,,0.00,0.00,0.00,,,
,15,684,conf-684,389.0686,-2973.540125,,24.67,337.25,569.84,0.00,,0.00,0.00,0.00,,,
,16,727,conf-727,360.7564,-2974.040157,,18.75,23.48,39.67,0.00,,0.00,0.00,0.00,,,
,17,890,conf-890,366.5316,-2974.046469,,20.03,19.51,32.97,0.00,,0.00,0.00,0.00,,,
,18,961,conf-961,404.5954,-2974.045454,,27.56,20.15,34.05,0.00,,0.00,0.00,0.00,,,
