(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,112,conf-112,342.1103,-2974.241162,293.1,14.33,13.82,23.34,0.00,1.00,0.00,0.00,0.00,343.66,343.66,14.71
,1,205,conf-205,409.9379,-2974.063948,,28.50,125.02,211.24,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,384.7419,-2974.070638,,23.82,120.82,204.15,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,318.5708,-2974.237212,,8.00,16.29,27.53,0.00,,0.00,0.00,0.00,,,
,4,288,conf-288,332.9996,-2974.225933,,11.98,23.37,39.49,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,403.4559,-2974.074134,,27.35,118.63,200.44,0.00,,0.00,0.00,0.00,,,
,6,405,conf-405,408.6022,-2974.033301,,28.27,144.25,243.73,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,353.1435,-2974.193227,,17.00,43.90,74.17,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,343.661,-2974.26318,,14.71,0.00,0.00,1.00,,1.00,343.66,343.66,,,
,9,586,conf-586,401.7936,-2974.070656,,27.05,120.81,204.13,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,379.8615,-2974.074988,,22.84,118.09,199.53,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,422.4899,-2974.045274,,30.63,136.74,231.04,0.00,,0.00,0.00,0.00,,,
,12,703,conf-703,394.7609,-2974.072375,,25.75,119.73,202.31,0.00,,0.00,0.00,0.00,,,
,13,727,conf-727,406.9624,-2974.054978,,27.98,130.65,220.75,0.00,,0.00,0.00,0.00,,,
,14,807,conf-807,398.1122,-2974.027136,,26.38,148.12,250.27,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,380.1209,-2974.053296,,22.89,131.70,222.53,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,390.3727,-2974.046996,,24.92,135.65,229.21,0.00,,0.00,0.00,0.00,,,
,17,950,conf-950,393.5848,-2974.045948,,25.53,136.31,230.33,0.00,,0.00,0.00,0.00,,,
,18,962,conf-962,401.4748,-2974.055363,,26.99,130.40,220.34,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,403.3724,-2974.047024,,27.34,135.64,229.18,0.00,,0.00,0.00,0.00,,,
,20,981,conf-981,402.0075,-2974.031895,,27.09,145.13,245.23,0.00,,0.00,0.00,0.00,,,
