(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,399.6572,-2974.034826,293.1,26.66,32.75,55.34,0.00,1.55,0.00,0.00,0.00,518.23,335.07,12.52
,1,123,conf-123,335.971,-2974.087021,,12.76,0.00,0.00,1.00,,0.65,335.97,217.22,,,
,2,197,conf-197,381.8292,-2974.03855,,23.24,30.42,51.39,0.00,,0.00,0.00,0.00,,,
,3,217,conf-217,391.0675,-2974.037643,,25.05,30.98,52.35,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,357.7718,-2974.036432,,18.08,31.74,53.64,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,389.6634,-2974.050824,,24.78,22.71,38.38,0.00,,0.00,0.00,0.00,,,
,6,306,conf-306,397.1485,-2974.007553,,26.20,49.87,84.26,0.00,,0.00,0.00,0.00,,,
,7,364,conf-364,353.7169,-2974.037432,,17.14,31.12,52.58,0.00,,0.00,0.00,0.00,,,
,8,367,conf-367,391.9913,-2974.028051,,25.23,37.00,62.52,0.00,,0.00,0.00,0.00,,,
,9,399,conf-399,383.2491,-2974.018172,,23.52,43.20,73.00,0.00,,0.00,0.00,0.00,,,
,10,448,conf-448,387.3571,-2974.042656,,24.33,27.84,47.04,0.00,,0.00,0.00,0.00,,,
,11,474,conf-474,374.5301,-2974.046175,,21.74,25.63,43.31,0.00,,0.00,0.00,0.00,,,
,12,497,conf-497,389.6982,-2974.047643,,24.79,24.71,41.75,0.00,,0.00,0.00,0.00,,,
,13,625,conf-625,389.0729,-2974.043296,,24.67,27.44,46.36,0.00,,0.00,0.00,0.00,,,
,14,669,conf-669,333.4103,-2974.086451,,12.09,0.36,0.60,0.55,,0.35,182.26,117.84,,,
,15,684,conf-684,391.5818,-2974.005498,,25.15,51.16,86.44,0.00,,0.00,0.00,0.00,,,
,16,727,conf-727,380.2383,-2974.027102,,22.92,37.60,63.53,0.00,,0.00,0.00,0.00,,,
,17,746,conf-746,381.2336,-2974.010167,,23.12,48.23,81.49,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,326.8812,-2974.062538,,10.33,15.36,25.96,0.00,,0.00,0.00,0.00,,,
,19,950,conf-950,403.0171,-2973.971157,,27.27,72.70,122.85,0.00,,0.00,0.00,0.00,,,
,20,961,conf-961,388.5099,-2973.977712,,24.56,68.59,115.90,0.00,,0.00,0.00,0.00,,,
,21,962,conf-962,388.4234,-2974.037233,,24.54,31.24,52.79,0.00,,0.00,0.00,0.00,,,
,22,966,conf-966,400.3911,-2974.047568,,26.80,24.76,41.83,0.00,,0.00,0.00,0.00,,,
