(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,359.3038,-2974.185121,293.1,18.43,69.80,117.95,0.00,1.00,0.00,0.00,0.00,302.10,302.10,2.98
,1,123,conf-123,371.1434,-2974.18413,,21.03,70.43,119.00,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,311.5014,-2974.223286,,5.91,45.86,77.48,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,376.2344,-2974.207374,,22.10,55.84,94.35,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,374.3556,-2974.158988,,21.71,86.20,145.65,0.00,,0.00,0.00,0.00,,,
,5,231,conf-231,340.8128,-2974.219311,,14.00,48.35,81.70,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,344.0631,-2974.206509,,14.81,56.38,95.27,0.00,,0.00,0.00,0.00,,,
,7,306,conf-306,367.6269,-2974.198074,,20.27,61.68,104.21,0.00,,0.00,0.00,0.00,,,
,8,364,conf-364,303.2439,-2974.234458,,3.35,38.84,65.64,0.00,,0.00,0.00,0.00,,,
,9,367,conf-367,368.8773,-2974.204538,,20.54,57.62,97.36,0.00,,0.00,0.00,0.00,,,
,10,399,conf-399,374.9622,-2974.175487,,21.83,75.85,128.16,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,379.7487,-2974.1906,,22.82,66.37,112.14,0.00,,0.00,0.00,0.00,,,
,12,474,conf-474,338.1017,-2974.210046,,13.31,54.16,91.52,0.00,,0.00,0.00,0.00,,,
,13,497,conf-497,335.4261,-2974.227559,,12.62,43.17,72.95,0.00,,0.00,0.00,0.00,,,
,14,625,conf-625,374.4742,-2974.188171,,21.73,67.89,114.71,0.00,,0.00,0.00,0.00,,,
,15,669,conf-669,302.1029,-2974.296363,,2.98,0.00,0.00,1.00,,1.00,302.10,302.10,,,
,16,684,conf-684,355.4796,-2974.223002,,17.55,46.03,77.78,0.00,,0.00,0.00,0.00,,,
,17,727,conf-727,388.3908,-2974.132058,,24.53,103.10,174.21,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,295.0268,-2974.273336,,0.65,14.45,24.41,0.00,,0.00,0.00,0.00,,,
,19,883,conf-883,332.0573,-2974.225599,,11.73,44.40,75.03,0.00,,0.00,0.00,0.00,,,
,20,950,conf-950,337.4478,-2974.224943,,13.14,44.82,75.72,0.00,,0.00,0.00,0.00,,,
,21,961,conf-961,338.2901,-2974.17795,,13.36,74.30,125.55,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,345.5279,-2974.175943,,15.17,75.56,127.68,0.00,,0.00,0.00,0.00,,,
,23,966,conf-966,383.8881,-2974.208215,,23.65,55.31,93.46,0.00,,0.00,0.00,0.00,,,
