(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,325.451,-2974.336137,293.1,9.94,32.43,54.80,0.00,1.00,0.00,0.00,0.00,307.20,307.17,4.58
,1,123,conf-123,371.3065,-2974.294585,,21.06,58.51,98.86,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,307.1686,-2974.387822,,4.58,0.00,0.00,1.00,,1.00,307.17,307.13,,,
,3,197,conf-197,355.4056,-2974.289642,,17.53,61.61,104.10,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,351.9344,-2974.326837,,16.72,38.27,64.66,0.00,,0.00,0.00,0.00,,,
,5,231,conf-231,341.8275,-2974.329792,,14.25,36.41,61.53,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,313.3416,-2974.347479,,6.46,25.31,42.77,0.00,,0.00,0.00,0.00,,,
,7,306,conf-306,351.3446,-2974.295621,,16.58,57.86,97.76,0.00,,0.00,0.00,0.00,,,
,8,364,conf-364,378.4181,-2974.301544,,22.55,54.14,91.48,0.00,,0.00,0.00,0.00,,,
,9,367,conf-367,368.6804,-2974.313271,,20.50,46.78,79.04,0.00,,0.00,0.00,0.00,,,
,10,399,conf-399,366.4446,-2974.295859,,20.02,57.71,97.51,0.00,,0.00,0.00,0.00,,,
,11,448,conf-448,378.5278,-2974.320993,,22.57,41.94,70.86,0.00,,0.00,0.00,0.00,,,
,12,474,conf-474,316.619,-2974.379265,,7.43,5.37,9.07,0.00,,0.00,0.04,0.04,,,
,13,497,conf-497,335.1539,-2974.338056,,12.55,31.23,52.77,0.00,,0.00,0.00,0.00,,,
,14,625,conf-625,373.1618,-2974.297771,,21.45,56.51,95.48,0.00,,0.00,0.00,0.00,,,
,15,669,conf-669,322.2368,-2974.34766,,9.04,25.20,42.58,0.00,,0.00,0.00,0.00,,,
,16,684,conf-684,345.2031,-2974.331684,,15.09,35.23,59.52,0.00,,0.00,0.00,0.00,,,
,17,727,conf-727,387.21,-2974.240354,,24.30,92.54,156.36,0.00,,0.00,0.00,0.00,,,
,18,746,conf-746,285.4488,-2974.381159,,2.68,4.18,7.06,0.00,,0.00,0.24,0.24,,,
,19,883,conf-883,322.3415,-2974.319701,,9.07,42.75,72.23,0.00,,0.00,0.00,0.00,,,
,20,950,conf-950,343.3151,-2974.334347,,14.63,33.56,56.70,0.00,,0.00,0.00,0.00,,,
,21,961,conf-961,359.6068,-2974.276603,,18.49,69.79,117.92,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,345.477,-2974.326006,,15.16,38.79,65.54,0.00,,0.00,0.00,0.00,,,
,23,966,conf-966,363.3319,-2974.335475,,19.33,32.85,55.50,0.00,,0.00,0.00,0.00,,,
