(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,256.7162,-1866.807984,231.6,9.78,5.30,8.96,0.00,1.87,0.00,0.03,0.02,468.82,250.51,7.55
,1,60,conf-60,259.8461,-1866.812824,,10.87,2.27,3.83,0.02,,0.01,5.63,3.01,,,
,2,112,conf-112,257.7998,-1866.806396,,10.16,6.30,10.65,0.00,,0.00,0.01,0.00,,,
,3,121,conf-121,249.6232,-1866.8156,,7.22,0.53,0.89,0.41,,0.22,102.79,54.93,,,
,4,217,conf-217,259.9349,-1866.812815,,10.90,2.27,3.84,0.02,,0.01,5.58,2.98,,,
,5,472,conf-472,256.6982,-1866.813584,,9.78,1.79,3.02,0.05,,0.03,12.47,6.66,,,
,6,669,conf-669,247.5179,-1866.811304,,6.43,3.22,5.44,0.00,,0.00,1.07,0.57,,,
,7,727,conf-727,249.1354,-1866.810395,,7.04,3.79,6.41,0.00,,0.00,0.41,0.22,,,
,8,883,conf-883,247.2477,-1866.816437,,6.33,0.00,0.00,1.00,,0.53,247.25,132.11,,,
,9,950,conf-950,260.7216,-1866.814934,,11.17,0.94,1.59,0.20,,0.11,52.97,28.30,,,
,10,962,conf-962,249.3881,-1866.809237,,7.13,4.52,7.63,0.00,,0.00,0.12,0.06,,,
,11,981,conf-981,255.9497,-1866.814698,,9.51,1.09,1.84,0.16,,0.08,40.49,21.64,,,
