(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,14,conf-14,286.2495,-1866.611249,231.6,19.09,13.30,22.47,0.00,1.00,0.00,0.00,0.00,270.60,270.59,14.41
,1,102,conf-102,240.6652,-1866.609023,,3.77,14.69,24.83,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,270.1584,-1866.598561,,14.27,21.26,35.92,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,274.3193,-1866.6112,,15.57,13.33,22.52,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,282.7283,-1866.599822,,18.08,20.47,34.58,0.00,,0.00,0.00,0.00,,,
,5,315,conf-315,252.0759,-1866.610194,,8.12,13.96,23.59,0.00,,0.00,0.00,0.00,,,
,6,353,conf-353,267.9787,-1866.581246,,13.58,32.12,54.28,0.00,,0.00,0.00,0.00,,,
,7,448,conf-448,271.9557,-1866.596403,,14.84,22.61,38.21,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,275.4598,-1866.620678,,15.92,7.38,12.47,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,264.5296,-1866.605711,,12.45,16.77,28.34,0.00,,0.00,0.00,0.00,,,
,10,771,conf-771,276.775,-1866.567076,,16.32,41.02,69.30,0.00,,0.00,0.00,0.00,,,
,11,876,conf-876,276.4785,-1866.609737,,16.23,14.25,24.07,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,270.5926,-1866.632439,,14.41,0.00,0.00,1.00,,1.00,270.59,270.59,,,
,13,883,conf-883,267.5846,-1866.59966,,13.45,20.57,34.75,0.00,,0.00,0.00,0.00,,,
,14,962,conf-962,267.0425,-1866.600074,,13.27,20.31,34.32,0.00,,0.00,0.00,0.00,,,
,15,966,conf-966,246.6301,-1866.621974,,6.09,6.57,11.10,0.00,,0.00,0.00,0.00,,,
