(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,123,conf-123,273.3593,-1866.688967,231.6,15.28,36.57,61.80,0.00,1.00,0.00,0.00,0.00,247.37,247.37,6.37
,1,197,conf-197,265.978,-1866.707244,,12.93,25.10,42.42,0.00,,0.00,0.00,0.00,,,
,2,217,conf-217,268.355,-1866.710294,,13.70,23.19,39.18,0.00,,0.00,0.00,0.00,,,
,3,231,conf-231,247.0959,-1866.701057,,6.27,28.99,48.98,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,247.3664,-1866.74725,,6.37,0.00,0.00,1.00,,1.00,247.37,247.37,,,
,5,304,conf-304,258.8519,-1866.73081,,10.53,10.32,17.43,0.00,,0.00,0.00,0.00,,,
,6,448,conf-448,266.8517,-1866.682387,,13.21,40.70,68.77,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,254.3311,-1866.729027,,8.94,11.44,19.32,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,250.1412,-1866.7199,,7.41,17.16,29.00,0.00,,0.00,0.00,0.00,,,
,9,496,conf-496,273.0007,-1866.669603,,15.17,48.72,82.33,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,261.0383,-1866.686413,,11.28,38.18,64.50,0.00,,0.00,0.00,0.00,,,
,11,584,conf-584,240.2531,-1866.72182,,3.60,15.96,26.96,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,277.6096,-1866.682006,,16.57,40.94,69.18,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,264.3963,-1866.698332,,12.40,30.70,51.87,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,250.5748,-1866.710886,,7.57,22.82,38.56,0.00,,0.00,0.00,0.00,,,
,15,883,conf-883,244.2109,-1866.701166,,5.16,28.92,48.86,0.00,,0.00,0.00,0.00,,,
,16,950,conf-950,279.5296,-1866.692155,,17.15,34.57,58.42,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,258.144,-1866.710369,,10.28,23.14,39.10,0.00,,0.00,0.00,0.00,,,
