,order,file,ave_TM_CS,HF_energy
0,123,conf-123,276.6158,-1866.5922389
1,197,conf-197,269.218,-1866.605266
2,217,conf-217,272.0869,-1866.6073974
3,231,conf-231,254.0951,-1866.5863633
4,234,conf-234,275.2885,-1866.5926073
5,304,conf-304,261.8138,-1866.6241486
6,448,conf-448,272.4948,-1866.5806779
7,472,conf-472,261.231,-1866.6247016
8,474,conf-474,261.063,-1866.6277182
9,496,conf-496,260.7939,-1866.5782945
10,549,conf-549,269.0287,-1866.582982
11,584,conf-584,261.7463,-1866.5967697
12,669,conf-669,289.5544,-1866.5820108
13,684,conf-684,270.493,-1866.5950488
14,879,conf-879,259.9497,-1866.5986776
15,883,conf-883,253.1276,-1866.5875307
16,950,conf-950,282.2014,-1866.5974792
17,962,conf-962,282.3728,-1866.5945028
