(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,259.4353,-1866.737265,231.6,10.73,15.68,26.49,0.00,1.00,0.00,0.00,0.00,231.08,231.08,0.22
,1,95,conf-95,278.6728,-1866.71239,,16.89,31.28,52.86,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,279.3426,-1866.696602,,17.09,41.19,69.60,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,286.0344,-1866.690764,,19.03,44.85,75.79,0.00,,0.00,0.00,0.00,,,
,4,197,conf-197,269.7071,-1866.705471,,14.13,35.63,60.20,0.00,,0.00,0.00,0.00,,,
,5,242,conf-242,240.2533,-1866.735392,,3.60,16.85,28.47,0.00,,0.00,0.00,0.00,,,
,6,535,conf-535,257.8604,-1866.7267,,10.18,22.30,37.69,0.00,,0.00,0.00,0.00,,,
,7,549,conf-549,249.5652,-1866.746623,,7.20,9.80,16.56,0.00,,0.00,0.00,0.00,,,
,8,605,conf-605,241.2331,-1866.746674,,3.99,9.77,16.51,0.00,,0.00,0.00,0.00,,,
,9,669,conf-669,256.0944,-1866.739819,,9.56,14.07,23.78,0.00,,0.00,0.00,0.00,,,
,10,684,conf-684,262.0814,-1866.713119,,11.63,30.83,52.09,0.00,,0.00,0.00,0.00,,,
,11,727,conf-727,271.102,-1866.726147,,14.57,22.65,38.27,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,256.3122,-1866.721135,,9.64,25.80,43.59,0.00,,0.00,0.00,0.00,,,
,13,777,conf-777,231.0811,-1866.762246,,0.22,0.00,0.00,1.00,,1.00,231.08,231.08,,,
,14,797,conf-797,277.2115,-1866.698272,,16.45,40.14,67.83,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,247.5131,-1866.744273,,6.43,11.28,19.06,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,236.4457,-1866.748911,,2.05,8.37,14.14,0.00,,0.00,0.00,0.00,,,
,17,962,conf-962,238.4668,-1866.757345,,2.88,3.08,5.20,0.01,,0.01,1.32,1.32,,,
