(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,17,885,conf-885,185.5786,-1300.597289,184.7,0.47,0.00,0.00,1.00,1.00,1.00,185.58,185.58,185.58,185.58,0.47
,3,234,conf-234,186.0316,-1300.567508,,0.72,18.69,31.58,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,189.4806,-1300.559704,,2.52,23.58,39.85,0.00,,0.00,0.00,0.00,,,
,12,669,conf-669,190.2389,-1300.558978,,2.91,24.04,40.62,0.00,,0.00,0.00,0.00,,,
,19,961,conf-961,192.8153,-1300.561133,,4.21,22.69,38.34,0.00,,0.00,0.00,0.00,,,
,4,304,conf-304,195.2649,-1300.566868,,5.41,19.09,32.25,0.00,,0.00,0.00,0.00,,,
,14,705,conf-705,197.3284,-1300.54524,,6.40,32.66,55.19,0.00,,0.00,0.00,0.00,,,
,1,102,conf-102,197.3621,-1300.569734,,6.42,17.29,29.22,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,199.1199,-1300.559944,,7.24,23.43,39.60,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,200.4067,-1300.566115,,7.84,19.56,33.05,0.00,,0.00,0.00,0.00,,,
,18,948,conf-948,201.9297,-1300.549022,,8.53,30.29,51.18,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,204.0013,-1300.559609,,9.46,23.64,39.95,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,205.1685,-1300.541947,,9.98,34.73,58.68,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,205.8236,-1300.55635,,10.26,25.69,43.41,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,206.5654,-1300.553038,,10.59,27.77,46.92,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,207.2412,-1300.554826,,10.88,26.65,45.02,0.00,,0.00,0.00,0.00,,,
,9,503,conf-503,211.1632,-1300.591242,,12.53,3.79,6.41,0.00,,0.00,0.35,0.35,,,
,13,684,conf-684,211.8137,-1300.546123,,12.80,32.11,54.25,0.00,,0.00,0.00,0.00,,,
,5,448,conf-448,211.8993,-1300.561082,,12.84,22.72,38.39,0.00,,0.00,0.00,0.00,,,
,11,608,conf-608,216.7833,-1300.525258,,14.80,45.20,76.37,0.00,,0.00,0.00,0.00,,,
