(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,24,962,conf-962,189.6111,-1300.631868,184.7,2.59,0.00,0.00,1.00,1.00,1.00,189.61,188.88,190.35,189.62,2.60
,0,14,conf-14,190.5433,-1300.610988,,3.07,13.10,22.14,0.00,,0.00,0.00,0.00,,,
,20,876,conf-876,191.8267,-1300.625855,,3.72,3.77,6.38,0.00,,0.00,0.33,0.33,,,
,2,102,conf-102,193.4753,-1300.616957,,4.54,9.36,15.81,0.00,,0.00,0.00,0.00,,,
,10,365,conf-365,193.7936,-1300.626074,,4.69,3.64,6.14,0.00,,0.00,0.42,0.41,,,
,3,197,conf-197,194.2194,-1300.595984,,4.90,22.52,38.05,0.00,,0.00,0.00,0.00,,,
,7,315,conf-315,195.8067,-1300.57973,,5.67,32.72,55.28,0.00,,0.00,0.00,0.00,,,
,17,669,conf-669,198.9571,-1300.602629,,7.17,18.35,31.00,0.00,,0.00,0.00,0.00,,,
,12,433,conf-433,200.1193,-1300.593579,,7.71,24.03,40.60,0.00,,0.00,0.00,0.00,,,
,1,34,conf-34,200.561,-1300.595636,,7.91,22.74,38.42,0.00,,0.00,0.00,0.00,,,
,8,353,conf-353,202.3351,-1300.59572,,8.72,22.68,38.33,0.00,,0.00,0.00,0.00,,,
,9,364,conf-364,202.4421,-1300.596192,,8.76,22.39,37.83,0.00,,0.00,0.00,0.00,,,
,23,961,conf-961,202.5865,-1300.585291,,8.83,29.23,49.38,0.00,,0.00,0.00,0.00,,,
,18,684,conf-684,206.3945,-1300.590453,,10.51,25.99,43.91,0.00,,0.00,0.00,0.00,,,
,11,428,conf-428,207.3273,-1300.576385,,10.91,34.82,58.83,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,209.2249,-1300.588074,,11.72,27.48,46.43,0.00,,0.00,0.00,0.00,,,
,22,883,conf-883,209.3709,-1300.57836,,11.78,33.58,56.73,0.00,,0.00,0.00,0.00,,,
,16,667,conf-667,210.9281,-1300.591176,,12.43,25.53,43.14,0.00,,0.00,0.00,0.00,,,
,13,472,conf-472,211.3435,-1300.579302,,12.61,32.99,55.73,0.00,,0.00,0.00,0.00,,,
,21,879,conf-879,211.6732,-1300.585672,,12.74,28.99,48.98,0.00,,0.00,0.00,0.00,,,
,14,549,conf-549,211.7906,-1300.589527,,12.79,26.57,44.89,0.00,,0.00,0.00,0.00,,,
,15,662,conf-662,212.0459,-1300.574396,,12.90,36.06,60.94,0.00,,0.00,0.00,0.00,,,
,19,727,conf-727,214.5294,-1300.591156,,13.90,25.55,43.17,0.00,,0.00,0.00,0.00,,,
,5,245,conf-245,218.692,-1300.563468,,15.54,42.92,72.52,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,218.833,-1300.580749,,15.60,32.08,54.20,0.00,,0.00,0.00,0.00,,,
