,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
14,883,conf-883,204.4145,-1300.546926,184.5,9.34,5.43,9.17,0.00,1.05,0.00,0.02,214.42,219.80,209.55,10.96
15,950,conf-950,204.5022,-1300.54693,,9.34,5.42,9.16,0.00,,0.00,0.02,215.28,,,
13,879,conf-879,204.6952,-1300.492461,,9.34,39.60,66.91,0.00,,0.00,0.00,0.00,,,
11,746,conf-746,204.8994,-1300.535209,,9.34,12.78,21.59,0.00,,0.00,0.00,0.00,,,
12,772,conf-772,205.1191,-1300.535334,,9.34,12.70,21.46,0.00,,0.00,0.00,0.00,,,
9,549,conf-549,206.562,-1300.552722,,9.34,1.79,3.02,0.05,,0.05,10.06,101041.92,,,
0,14,conf-14,208.9438,-1300.535395,,9.34,12.66,21.39,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,209.0066,-1300.50524,,9.34,31.58,53.37,0.00,,0.00,0.00,0.00,,,
6,315,conf-315,209.6974,-1300.555572,,9.34,0.00,0.00,1.00,,0.95,209.70,2105655.41,,,
4,304,conf-304,210.1094,-1300.538871,,9.34,10.48,17.71,0.00,,0.00,0.00,0.04,,,
5,306,conf-306,210.9003,-1300.531061,,9.34,15.38,25.99,0.00,,0.00,0.00,0.00,,,
16,961,conf-961,210.9678,-1300.530372,,9.34,15.81,26.72,0.00,,0.00,0.00,0.00,,,
1,34,conf-34,216.0294,-1300.538149,,9.34,10.93,18.47,0.00,,0.00,0.00,0.02,,,
3,217,conf-217,216.4611,-1300.538143,,9.34,10.94,18.48,0.00,,0.00,0.00,0.02,,,
10,684,conf-684,221.8575,-1300.511738,,9.34,27.51,46.48,0.00,,0.00,0.00,0.00,,,
7,367,conf-367,228.126,-1300.509035,,9.34,29.20,49.34,0.00,,0.00,0.00,0.00,,,
2,102,conf-102,229.5402,-1300.453487,,9.34,64.06,108.24,0.00,,0.00,0.00,0.00,,,
17,962,conf-962,232.1709,-1300.468758,,9.34,54.48,92.05,0.00,,0.00,0.00,0.00,,,
