(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,202.8745,-1300.582876,184.7,8.96,0.00,0.00,1.00,1.03,0.97,202.87,196.67,209.62,203.21,9.11
,1,172,conf-172,215.8047,-1300.541358,,14.41,26.05,44.02,0.00,,0.00,0.00,0.00,,,
,2,197,conf-197,211.1239,-1300.55301,,12.52,18.74,31.67,0.00,,0.00,0.00,0.00,,,
,3,215,conf-215,207.4311,-1300.563972,,10.96,11.86,20.04,0.00,,0.00,0.00,0.00,,,
,4,234,conf-234,214.9463,-1300.573115,,14.07,6.13,10.35,0.00,,0.00,0.01,0.01,,,
,5,308,conf-308,201.7334,-1300.578345,,8.44,2.84,4.80,0.01,,0.01,1.65,1.60,,,
,6,367,conf-367,208.6267,-1300.571018,,11.47,7.44,12.57,0.00,,0.00,0.00,0.00,,,
,7,418,conf-418,222.056,-1300.56753,,16.82,9.63,16.27,0.00,,0.00,0.00,0.00,,,
,8,448,conf-448,199.67,-1300.566225,,7.50,10.45,17.65,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,215.1697,-1300.575295,,14.16,4.76,8.04,0.00,,0.00,0.07,0.07,,,
,10,495,conf-495,207.9809,-1300.566796,,11.19,10.09,17.05,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,220.6081,-1300.578832,,16.28,2.54,4.29,0.01,,0.01,3.03,2.94,,,
,12,591,conf-591,219.0859,-1300.542904,,15.70,25.08,42.38,0.00,,0.00,0.00,0.00,,,
,13,607,conf-607,214.3837,-1300.578462,,13.85,2.77,4.68,0.01,,0.01,1.99,1.93,,,
,14,669,conf-669,201.6123,-1300.567197,,8.39,9.84,16.62,0.00,,0.00,0.00,0.00,,,
,15,684,conf-684,207.2932,-1300.570554,,10.90,7.73,13.07,0.00,,0.00,0.00,0.00,,,
,16,746,conf-746,220.9822,-1300.557247,,16.42,16.08,27.17,0.00,,0.00,0.00,0.00,,,
,17,797,conf-797,205.9876,-1300.573522,,10.33,5.87,9.92,0.00,,0.00,0.01,0.01,,,
,18,879,conf-879,215.2493,-1300.573694,,14.19,5.76,9.74,0.00,,0.00,0.01,0.01,,,
,19,883,conf-883,204.5014,-1300.573692,,9.68,5.76,9.74,0.00,,0.00,0.01,0.01,,,
,20,961,conf-961,216.1934,-1300.577877,,14.57,3.14,5.30,0.00,,0.00,1.08,1.05,,,
,21,966,conf-966,208.9645,-1300.558598,,11.61,15.23,25.74,0.00,,0.00,0.00,0.00,,,
