(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,210.4284,-1300.4857,184.5,12.32,19.32,32.65,0,1,0,0,0,191.15,191.1,3.45
,1,102,conf-102,210.984,-1300.508685,,12.55,4.9,8.28,0,,0,0.05,0.05,,,
,2,123,conf-123,209.115,-1300.502534,,11.77,8.76,14.8,0,,0,0,0,,,
,3,234,conf-234,195.7573,-1300.501901,,5.75,9.16,15.47,0,,0,0,0,,,
,4,304,conf-304,199.2389,-1300.500886,,7.4,9.79,16.55,0,,0,0,0,,,
,5,448,conf-448,216.3016,-1300.506392,,14.7,6.34,10.71,0,,0,0,0,,,
,6,472,conf-472,214.3668,-1300.472297,,13.93,27.73,46.86,0,,0,0,0,,,
,7,474,conf-474,206.4521,-1300.501617,,10.63,9.34,15.77,0,,0,0,0,,,
,8,497,conf-497,204.3786,-1300.500596,,9.73,9.98,16.86,0,,0,0,0,,,
,9,503,conf-503,226.3871,-1300.486312,,18.5,18.94,32,0,,0,0,0,,,
,10,705,conf-705,204.7159,-1300.484487,,9.88,20.08,33.94,0,,0,0,0,,,
,11,879,conf-879,210.6634,-1300.490701,,12.42,16.19,27.35,0,,0,0,0,,,
,12,883,conf-883,218.9034,-1300.483895,,15.72,20.46,34.56,0,,0,0,0,,,
,13,885,conf-885,191.095,-1300.516494,,3.45,0,0,1,,1,191.1,191.04,,,
,14,948,conf-948,206.5881,-1300.483303,,10.69,20.83,35.19,0,,0,0,0,,,
,15,961,conf-961,213.6304,-1300.499748,,13.64,10.51,17.76,0,,0,0,0,,,
