(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,18,883,conf-883,188.5916,-1300.699623,184.7,2.06,0.00,0.00,1.00,1.00,1.00,188.59,188.58,188.60,188.59,2.06
,14,746,conf-746,192.8803,-1300.658871,,4.24,25.57,43.21,0.00,,0.00,0.00,0.00,,,
,9,497,conf-497,193.703,-1300.690092,,4.65,5.98,10.10,0.00,,0.00,0.01,0.01,,,
,16,876,conf-876,194.6714,-1300.652346,,5.12,29.67,50.13,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,196.3453,-1300.644438,,5.93,34.63,58.51,0.00,,0.00,0.00,0.00,,,
,12,635,conf-635,197.6419,-1300.68662,,6.55,8.16,13.79,0.00,,0.00,0.00,0.00,,,
,6,445,conf-445,198.0727,-1300.654321,,6.75,28.43,48.03,0.00,,0.00,0.00,0.00,,,
,11,578,conf-578,199.0242,-1300.644585,,7.20,34.54,58.36,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,199.1781,-1300.653131,,7.27,29.17,49.29,0.00,,0.00,0.00,0.00,,,
,1,62,conf-62,199.4704,-1300.655109,,7.40,27.93,47.20,0.00,,0.00,0.00,0.00,,,
,20,962,conf-962,200.2241,-1300.685091,,7.75,9.12,15.41,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,201.0873,-1300.68645,,8.15,8.27,13.97,0.00,,0.00,0.00,0.00,,,
,5,304,conf-304,201.3558,-1300.677392,,8.27,13.95,23.57,0.00,,0.00,0.00,0.00,,,
,3,123,conf-123,201.6756,-1300.668433,,8.42,19.57,33.07,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,207.4122,-1300.661995,,10.95,23.61,39.90,0.00,,0.00,0.00,0.00,,,
,21,981,conf-981,207.5523,-1300.643394,,11.01,35.28,59.62,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,207.9364,-1300.676187,,11.17,14.71,24.85,0.00,,0.00,0.00,0.00,,,
,19,950,conf-950,212.1949,-1300.660608,,12.96,24.48,41.37,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,213.6683,-1300.662236,,13.56,23.46,39.64,0.00,,0.00,0.00,0.00,,,
,17,879,conf-879,215.3738,-1300.642517,,14.24,35.83,60.55,0.00,,0.00,0.00,0.00,,,
,10,535,conf-535,215.798,-1300.644065,,14.41,34.86,58.91,0.00,,0.00,0.00,0.00,,,
,4,222,conf-222,218.9276,-1300.626139,,15.63,46.11,77.91,0.00,,0.00,0.00,0.00,,,
