(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,90,conf-90,255.9421,-2166.399865,234.5,8.38,9.31,15.73,0,1,0,0,0,240.4,240.28,2.41
,1,112,conf-112,269.2721,-2166.394018,,12.91,12.98,21.93,0,,0,0,0,,,
,2,121,conf-121,278.7478,-2166.397473,,15.87,10.81,18.27,0,,0,0,0,,,
,3,156,conf-156,292.006,-2166.368522,,19.69,28.98,48.96,0,,0,0,0,,,
,4,217,conf-217,253.4245,-2166.395221,,7.47,12.23,20.66,0,,0,0,0,,,
,5,234,conf-234,264.2571,-2166.387964,,11.26,16.78,28.35,0,,0,0,0,,,
,6,304,conf-304,260.0317,-2166.391032,,9.82,14.85,25.1,0,,0,0,0,,,
,7,399,conf-399,240.2829,-2166.414703,,2.41,0,0,1,,1,240.28,240.17,,,
,8,420,conf-420,280.7651,-2166.373342,,16.48,25.95,43.85,0,,0,0,0,,,
,9,472,conf-472,264.4228,-2166.387247,,11.32,17.23,29.11,0,,0,0,0,,,
,10,474,conf-474,258.9374,-2166.381892,,9.44,20.59,34.79,0,,0,0,0,,,
,11,549,conf-549,310.6651,-2166.34502,,24.52,43.73,73.88,0,,0,0,0,,,
,12,641,conf-641,276.0386,-2166.374026,,15.05,25.52,43.13,0,,0,0,0,,,
,13,669,conf-669,282.5447,-2166.373811,,17,25.66,43.36,0,,0,0,0,,,
,14,684,conf-684,264.1816,-2166.385116,,11.24,18.57,31.37,0,,0,0,0,,,
,15,797,conf-797,244.2481,-2166.40746,,3.99,4.55,7.68,0,,0,0.11,0.11,,,
,16,876,conf-876,245.6761,-2166.400862,,4.55,8.69,14.68,0,,0,0,0,,,
,17,879,conf-879,284.3126,-2166.35735,,17.52,35.99,60.81,0,,0,0,0,,,
,18,883,conf-883,265.8163,-2166.375253,,11.78,24.76,41.83,0,,0,0,0,,,
,19,962,conf-962,283.122,-2166.355115,,17.17,37.39,63.18,0,,0,0,0,,,
