,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,272.6949,-2166.241014,234.5,14.01,45.87,77.51,0.00,1.00,0.00,0.00,0.00,275.09,275.09,14.75
1,34,conf-34,296.0421,-2166.278299,,20.79,22.48,37.98,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,273.9949,-2166.242473,,14.41,44.96,75.96,0.00,,0.00,0.00,0.00,,,
3,472,conf-472,271.6412,-2166.267255,,13.67,29.41,49.69,0.00,,0.00,0.00,0.00,,,
4,474,conf-474,284.959,-2166.266886,,17.71,29.64,50.08,0.00,,0.00,0.00,0.00,,,
5,497,conf-497,317.0253,-2166.110352,,26.03,127.86,216.05,0.00,,0.00,0.00,0.00,,,
6,553,conf-553,275.0854,-2166.314118,,14.75,0.00,0.00,1.00,,1.00,275.09,275.09,,,
7,669,conf-669,281.8439,-2166.264664,,16.80,31.03,52.43,0.00,,0.00,0.00,0.00,,,
8,684,conf-684,274.1607,-2166.253164,,14.47,38.25,64.63,0.00,,0.00,0.00,0.00,,,
9,705,conf-705,280.5435,-2166.27635,,16.41,23.70,40.04,0.00,,0.00,0.00,0.00,,,
10,746,conf-746,289.4459,-2166.26046,,18.98,33.67,56.89,0.00,,0.00,0.00,0.00,,,
11,879,conf-879,278.5511,-2166.27856,,15.81,22.31,37.70,0.00,,0.00,0.00,0.00,,,
12,883,conf-883,287.3881,-2166.285358,,18.40,18.05,30.49,0.00,,0.00,0.00,0.00,,,
13,950,conf-950,294.2431,-2166.277137,,20.30,23.21,39.21,0.00,,0.00,0.00,0.00,,,
14,962,conf-962,282.184,-2166.272217,,16.90,26.29,44.43,0.00,,0.00,0.00,0.00,,,
