,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,274.1501,-2166.353084,234.5,14.46,44.72,75.57,0.00,1.00,0.00,0.00,0.00,259.42,259.42,9.61
1,102,conf-102,254.6529,-2166.357143,,7.91,42.18,71.26,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,261.9781,-2166.358888,,10.49,41.08,69.41,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,305.6674,-2166.3308,,23.28,58.71,99.20,0.00,,0.00,0.00,0.00,,,
4,367,conf-367,274.5895,-2166.342345,,14.60,51.46,86.95,0.00,,0.00,0.00,0.00,,,
5,472,conf-472,283.9063,-2166.335367,,17.40,55.84,94.35,0.00,,0.00,0.00,0.00,,,
6,549,conf-549,259.42,-2166.424356,,9.61,0.00,0.00,1.00,,1.00,259.42,259.42,,,
7,662,conf-662,301.7154,-2166.350142,,22.28,46.57,78.69,0.00,,0.00,0.00,0.00,,,
8,669,conf-669,251.6557,-2166.376968,,6.82,29.74,50.24,0.00,,0.00,0.00,0.00,,,
9,684,conf-684,255.6993,-2166.404109,,8.29,12.71,21.47,0.00,,0.00,0.00,0.00,,,
10,746,conf-746,285.9194,-2166.338346,,17.98,53.97,91.19,0.00,,0.00,0.00,0.00,,,
11,876,conf-876,255.9642,-2166.36127,,8.39,39.59,66.89,0.00,,0.00,0.00,0.00,,,
12,883,conf-883,259.3368,-2166.370092,,9.58,34.05,57.54,0.00,,0.00,0.00,0.00,,,
13,950,conf-950,283.1789,-2166.337143,,17.19,54.73,92.47,0.00,,0.00,0.00,0.00,,,
14,962,conf-962,257.8369,-2166.383304,,9.05,25.76,43.53,0.00,,0.00,0.00,0.00,,,
15,981,conf-981,244.3243,-2166.369416,,4.02,34.48,58.25,0.00,,0.00,0.00,0.00,,,
