,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,90,conf-90,269.4974,-2166.29954,234.5,12.99,13.66,23.09,0.00,1.00,0.00,0.00,0.00,251.20,250.05,6.22
1,112,conf-112,281.7781,-2166.302404,,16.78,11.87,20.05,0.00,,0.00,0.00,0.00,,,
2,121,conf-121,284.8271,-2166.310207,,17.67,6.97,11.78,0.00,,0.00,0.00,0.00,,,
3,156,conf-156,295.1311,-2166.286986,,20.54,21.54,36.40,0.00,,0.00,0.00,0.00,,,
4,217,conf-217,269.1314,-2166.310167,,12.87,7.00,11.82,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,268.7793,-2166.301344,,12.75,12.53,21.18,0.00,,0.00,0.00,0.00,,,
6,304,conf-304,273.6514,-2166.300604,,14.31,13.00,21.96,0.00,,0.00,0.00,0.00,,,
7,399,conf-399,249.9133,-2166.321316,,6.17,0.00,0.00,1.00,,1.00,249.91,248.77,,,
8,420,conf-420,283.1171,-2166.308183,,17.17,8.24,13.92,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,279.82,-2166.293291,,16.20,17.59,29.71,0.00,,0.00,0.00,0.00,,,
10,474,conf-474,279.2841,-2166.293393,,16.04,17.52,29.61,0.00,,0.00,0.00,0.00,,,
11,549,conf-549,317.5385,-2166.265906,,26.15,34.77,58.75,0.00,,0.00,0.00,0.00,,,
12,641,conf-641,304.4915,-2166.258353,,22.99,39.51,66.76,0.00,,0.00,0.00,0.00,,,
13,669,conf-669,291.2857,-2166.289834,,19.49,19.75,33.38,0.00,,0.00,0.00,0.00,,,
14,684,conf-684,283.421,-2166.296781,,17.26,15.40,26.01,0.00,,0.00,0.00,0.00,,,
15,797,conf-797,280.8741,-2166.316232,,16.51,3.19,5.39,0.00,,0.00,1.28,1.28,,,
16,876,conf-876,269.7981,-2166.293244,,13.08,17.62,29.76,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,298.7832,-2166.269762,,21.51,32.35,54.66,0.00,,0.00,0.00,0.00,,,
18,883,conf-883,272.4785,-2166.278867,,13.94,26.64,45.01,0.00,,0.00,0.00,0.00,,,
19,962,conf-962,260.3246,-2166.298115,,9.92,14.56,24.60,0.00,,0.00,0.00,0.00,,,
