(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,90,conf-90,263.6446,-2166.48038,234.5,11.05,25.55,43.17,0.00,1.00,0.00,0.00,0.00,240.25,240.25,2.39
,1,112,conf-112,272.9417,-2166.482561,,14.08,24.18,40.86,0.00,,0.00,0.00,0.00,,,
,2,121,conf-121,281.225,-2166.487245,,16.61,21.24,35.90,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,292.6288,-2166.457522,,19.86,39.90,67.41,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,274.2037,-2166.456519,,14.48,40.52,68.47,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,267.0296,-2166.476168,,12.18,28.19,47.64,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,268.8239,-2166.482875,,12.77,23.99,40.53,0.00,,0.00,0.00,0.00,,,
,7,399,conf-399,240.2533,-2166.5211,,2.39,0.00,0.00,1.00,,1.00,240.25,240.25,,,
,8,420,conf-420,274.9649,-2166.479564,,14.72,26.06,44.04,0.00,,0.00,0.00,0.00,,,
,9,472,conf-472,265.1898,-2166.477212,,11.57,27.54,46.53,0.00,,0.00,0.00,0.00,,,
,10,474,conf-474,260.5204,-2166.48735,,9.99,21.18,35.78,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,311.1044,-2166.43205,,24.62,55.88,94.42,0.00,,0.00,0.00,0.00,,,
,12,641,conf-641,298.087,-2166.432681,,21.33,55.48,93.75,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,285.1017,-2166.463066,,17.75,36.42,61.53,0.00,,0.00,0.00,0.00,,,
,14,684,conf-684,267.1241,-2166.476779,,12.21,27.81,46.99,0.00,,0.00,0.00,0.00,,,
,15,797,conf-797,252.5685,-2166.495232,,7.15,16.23,27.43,0.00,,0.00,0.00,0.00,,,
,16,876,conf-876,259.4933,-2166.499496,,9.63,13.56,22.91,0.00,,0.00,0.00,0.00,,,
,17,879,conf-879,291.2127,-2166.443023,,19.47,48.99,82.78,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,267.901,-2166.459917,,12.47,38.39,64.87,0.00,,0.00,0.00,0.00,,,
,19,962,conf-962,250.1048,-2166.495071,,6.24,16.33,27.60,0.00,,0.00,0.00,0.00,,,
